original_name,french_name,RICname
"nles hébrides, iles mer sud",Nouvelles-Hébrides et Iles du Pacifique,Pacific Islands & Vanuatu (New Hebrides)
nle-zéland,Nouvelle-Zélande,New Zealand
nle-zélande,Nouvelle-Zélande,New Zealand
nle-zélande (deux provinces),Nouvelle-Zélande,New Zealand
nle-zélande (province de new-munster),Nouvelle-Zélande (Ile du Sud),New Zealand (South Island)
nle-zélande (province de new-ulster),Nouvelle-Zélande (Ile du Nord),New Zealand (North Island)
nlle grenade,Nouvelle-Grenade,Colombia (Gran Colombia)
nlle-zélande,Nouvelle-Zélande,New Zealand
nord de l'europe,Europe du Nord,Northern Europe
norte-america,Amérique du Nord,Northern America
north america,Amérique du Nord,Northern America
north america (including british north america),Amérique du Nord,Northern America
north german union,Confédération de l'Allemagne du Nord,North German Confederation
"north sea, ice-sea and greenland",Mer du Nord et Mer Glaciale et Groenland,Arctic & Greenland & North Sea
north-eastern rhodesia,Rhodésie du Nord-Est,Zambia (Northern Rhodesia)
northern nigeria,Nigéria du Nord,Northern Nigeria
northern rhodesia,Rhodésie du Nord,Zambia (Northern Rhodesia)
northwest coast,Côte nord-occidentale,North-West Coast
noruega,Norvège,Norway
norv7ge,Norvège,Norway
norvège,Norvège,Norway
norvège (christiania),Norvège (Christiania),Oslo (Christiana)
norvège et suède,Suède et Norvège,Norway & Sweden
"norvège, suède",Suède et Norvège,Norway & Sweden
norway,Norvège,Norway
norway and sweden,Suède et Norvège,Norway & Sweden
norway and sweden and denmark,Suède et Norvège et Danemark,Denmark & Norway & Sweden
"norway,  sweden",Suède et Norvège,Norway & Sweden
"norway, sweden",Suède et Norvège,Norway & Sweden
norwège,Norvège,Norway
nossi-bé,Nossi-Bé,Nossi Be
nouvelle calédonie,Nouvelle-Calédonie,New Caledonia and Dependencies
nouvelle galle du sud,Nouvelle-Galles du Sud,New South Wales
nouvelle galles,Nouvelle-Galles du Sud,New South Wales
nouvelle galles du sud,Nouvelle-Galles du Sud,New South Wales
nouvelle grenade,Nouvelle-Grenade,Colombia (Gran Colombia)
nouvelle grenade et vénézuela,Nouvelle-Grenade et Venezuela,Colombia (Gran Colombia) & Venezuela
nouvelle hollande,Nouvelle-Hollande,Western Australia
nouvelle hollande-nouvelle-galles du sud,Nouvelle-Hollande et Nouvelle-Galles du Sud,New South Wales & Western Australia
nouvelle zélande,Nouvelle-Zélande,New Zealand
nouvelle-bretagne,Nouvelle-Bretagne,New Britain
nouvelle-calédonie (la),Nouvelle-Calédonie,New Caledonia and Dependencies
nouvelle-galle du sud (la),Nouvelle-Galles du Sud,New South Wales
nouvelle-galles méridionale,Nouvelle-Galles du Sud,New South Wales
nouvelle-grenade,Nouvelle-Grenade,Colombia (Gran Colombia)
nouvelle-grenade (carthagène),Nouvelle-Grenade (Carthagène),Cartagena (Colombia)
nouvelle-grenade et venezuela,Nouvelle-Grenade et Venezuela,Colombia (Gran Colombia) & Venezuela
nouvelle-guinée,Nouvelle-Guinée,New Guinea (German New Guinea) (Kaiser Wilhelmsland) & Papua New Guinea & West Irian (Dutch New Guinea)
nouvelle-hébrides,Nouvelles-Hébrides,New Hebrides
nouvelle-hollande,Nouvelle-Hollande,Western Australia
nouvelles-hébrides,Nouvelles-Hébrides,New Hebrides
nouvelle-zélande,Nouvelle-Zélande,New Zealand
nova scotia,Nouvelle-Ecosse,Nova Scotia
nova scotia (north america),Nouvelle-Ecosse,Nova Scotia
nova scotia and cape breton (british north america),Amérique du Nord britannique (Nouvelle-Ecosse et Cap Breton),Cape Breton I. & Nova Scotia
nova scotia and new brunswick,Nouvelle-Ecosse et Nouveau-Brunswick,New Brunswick & Nova Scotia
"nova scotia and new brunswick, &c",Nouvelle-Ecosse et Nouveau-Brunswick et Ile du Prince Edouard,New Brunswick & Nova Scotia & Prince Edward Is.
"nova scotia and new brunswick, and prince edward island",Nouvelle-Ecosse et Nouveau-Brunswick et Ile du Prince Edouard,New Brunswick & Nova Scotia & Prince Edward Is.
"nova scotia, &c",Nouvelle-Ecosse et Nouveau-Brunswick et Ile du Prince Edouard,New Brunswick & Nova Scotia & Prince Edward Is.
"nova scotia, new brunswick, &c",Nouvelle-Ecosse et Nouveau-Brunswick et Ile du Prince Edouard,New Brunswick & Nova Scotia & Prince Edward Is.
"nova scotia, new brunswick, and prince edward island (canada)",Nouvelle-Ecosse et Nouveau-Brunswick et Ile du Prince Edouard,New Brunswick & Nova Scotia & Prince Edward Is.
"nova scotia, new brunswick, and prince edward island (dominion of canada)",Nouvelle-Ecosse et Nouveau-Brunswick et Ile du Prince Edouard,New Brunswick & Nova Scotia & Prince Edward Is.
"nova scotia, new brunswick, and rince edward island",Nouvelle-Ecosse et Nouveau-Brunswick et Ile du Prince Edouard,New Brunswick & Nova Scotia & Prince Edward Is.
"nova scotia, new brunswick, etc. (dominion of canada)",Nouvelle-Ecosse et Nouveau-Brunswick et Ile du Prince Edouard,New Brunswick & Nova Scotia & Prince Edward Is.
nueva granada,Nouvelle-Grenade,Colombia (Gran Colombia)
nueva-granada,Nouvelle-Grenade,Colombia (Gran Colombia)
nyasaland protectorate,Nyasaland,Malawi (Nyasaland)
obock and mussah,Obock et Mussah,Obock & Tadjoura
ocean island,Iles de l'Océan indien,Indian Ocean Islands
oceania,Océanie,Oceania
océanie,Océanie,Oceania
océanie et australie,Australie et Océanie,Australia & Oceania
océanie possessions allemandes,Océanie allemande,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
océanie possessions britaniques,Océanie britannique,British Oceania
océanie possessions etats-unis d'amérique,Océanie américaine,American Oceania
océanie possessions françaises,Océanie française,French Oceania
ohter british north american possessions,Amérique du Nord britannique (Autre),British North America (other)
ohter british possessions,Colonies britanniques (Autre),British Colonies (other)
oldenbourg,Oldenbourg,Oldenburg
oldenbourg (association commerciale allemande),Oldenbourg,Oldenburg
"oldenbourg, hanovre, mecklembourg",Hanovre et Mecklembourg et Oldenbourg,Hanover & Mecklenburg Schwerin & Oldenburg
oldenbrug,Oldenbourg,Oldenburg
oldenburg,Oldenbourg,Oldenburg
oldenburg and kniphausen,Oldenbourg et Kniphausen,Kniphausen & Oldenburg
oldenburgh and kniphausen (germany),Oldenbourg et Kniphausen,Kniphausen & Oldenburg
oman,Oman,Oman
oman and muscat,Oman et Arabie (Muscat),Muscat & Oman
ontario and quebec,Québec et Ontario,Ontario (Upper Canada) & Quebec (Lower Canada)
ontario and quebec (north america),Québec et Ontario,Ontario (Upper Canada) & Quebec (Lower Canada)
ontario and quebec/new brunswick/nova scotia/prince edward island,Québec et Ontario et Nouvelle-Ecosse et Nouveau-Brunswick et Ile du Prince Edouard,New Brunswick & Nova Scotia & Ontario (Upper Canada) & Prince Edward Is. & Quebec (Lower Canada)
"ontario, québec",Québec et Ontario,Ontario (Upper Canada) & Quebec (Lower Canada)
orange,Etat libre d'Orange,Orange Free State (Orange River Colony)
orange free state (orange river colony),Colonie de la rivière Orange,Orange Free State (Orange River Colony)
orégon,Orégon,Oregon Country
oriental republic of uruguay,Uruguay,Uruguay
ostfrise,Ostfrise,East Frisia
other (british west indies),Antilles britanniques (Autre),British West Indies (other)
other (pacific islands - foreign),Iles du Pacifique (Autre),Pacific Islands (other)
other africa,Afrique (Autre),Africa (other)
other african and asiatic ports,Afrique et Asie (Autres ports),Africa Ports (other) & Asia Ports (other)
other african countries,Afrique (Autre),Africa (other)
other american countries,Amérique (Autre),America (other)
other american countries / other countries,Amérique (Autre),America (other)
other asia,Asie (Autre),Asia (other)
other asia (except russia in asia),Asie (Autre),Asia (other)
other british (british east indies),Indes britanniques orientales,British East Indies
other british american possessions on the atlantic,Amérique britannique (côte atlantique),British America (Atlantic)
other british countries,Colonies britanniques (Autre),British Colonies (other)
other british north american possessions on the atlantic,Amérique britannique (côte atlantique),British America (Atlantic)
other british oversea dominions and protectorates,Colonies britanniques (Autre),British Colonies (other)
other british possessions,Colonies britanniques (Autre),British Colonies (other)
other british possessions in south america,Amérique du Sud britannique (Autre),British South America (other)
other british west indies,Antilles britanniques (Autre),British West Indies (other)
other countries,Autres pays,Other countries
other countries (including east indies),Autres pays,Other countries
other countries in africa,Afrique (Autre),Africa (other)
other countries in america,Amérique (Autre),America (other)
other countries in asia,Asie (Autre),Asia (other)
other countries in europe,Europe (Autre),Europe (other)
other dutch east indies,Antilles néerlandaises (Autre),Netherlands Antilles (other)
other dutch possessions,Colonies hollandaises (Autre),Dutch Colonies (other)
other dutch possessions in indian seas,Colonies hollandaises dans l'Océan indien (Autre),Dutch Oceania (other)
other dutch possessions in indian seas (except borneo and new guinea),Colonies hollandaises dans l'Océan indien (sauf Bornéo et Nouvelle-Guinée),Dutch Oceania (other)
other dutch possessions in the indian seas,Colonies hollandaises dans l'Océan indien (Autre),Dutch Oceania (other)
other dutch possessions in the indian seas (except in borneo and new guinea) (holland),Colonies hollandaises dans l'Océan indien (sauf Bornéo et Nouvelle-Guinée),Dutch Oceania (other)
other dutch possessions in the indian seas (holland),Colonies hollandaises dans l'Océan indien (Autre),Dutch Oceania (other)
other dutch possessions in the indian seas (netherlands),Colonies hollandaises dans l'Océan indien (Autre),Dutch Oceania (other)
other dutch possissions in the indian seas (netherlands),Colonies hollandaises dans l'Océan indien (Autre),Dutch Oceania (other)
other east indies,Indes orientales (Autre),East Indies (other)
other europe,Europe (Autre),Europe (other)
other european countries,Europe (Autre),Europe (other)
other foreign countries,Autres pays,Other countries
other foreign countries (non british),Autres pays (non britanniques),Other countries (non British)
other foreign west african ports,Colonies d'Afrique occidentale (ports),West African Colonies
other foreign west indies,Antilles (Autre),Antilles (other)
other french posessions,Colonies françaises (Autre),French Colonies (other)
other french possessions,Colonies françaises (Autre),French Colonies (other)
other german ports,Allemagne (Autres ports),German Ports (other)
other islands in the indian seas,Iles de l'Océan indien (Autre),Indian Ocean Islands (other)
other islands in the pacific,Iles du Pacifique (Autre),Pacific Islands (other)
other islands in the pacific (british),Iles du Pacifique britanniques (Autre),British Oceania (other)
"other islands of the indian, seas",Iles de l'Océan indien (Autre),Indian Ocean Islands (other)
other islands of the pacific,Iles du Pacifique (Autre),Pacific Islands (other)
other native territories in the indian seas,Territoires indépendants dans l'Océan indien (Autre),Independant Indian Ocean Islands (other)
other parts (australia),Australie (Autre),Australia (other)
other parts of africa,Afrique (Autre),Africa (other)
other parts of australasia,Australie (Autre),Australia (other)
other parts of europe,Europe (Autre),Europe (other)
other parts of south america,Amérique du Sud (Autre),Southern America (other)
other parts of the american continent,Amérique (Autre),America (other)
other parts of the malay peninsula (foreign),Colonies étrangères en Malaisie,Malaysia (Malaya) (other)
other parts of the malay peninsula (foreign) (c),Colonies étrangères en Malaisie,Malaysia (Malaya) (other)
other ports in africa,Afrique (Autres ports),Africa Ports (other)
other ports in asia,Asie (Autres ports),Asia Ports (other)
other ports in the pacific,Pacifique (Autres ports),Pacific Ports
other possessions in the indian seas (except in borneo and new guinea) (holland),Colonies hollandaises dans l'Océan indien (sauf Bornéo et Nouvelle-Guinée),Dutch Oceania (other)
other possessions in the indian seas (holland),Colonies hollandaises dans l'Océan indien (Autre),Dutch Oceania (other)
other south america,Amérique du Sud (Autre),Southern America (other)
other south american states (including central america and west indies),Amérique du Sud et Amérique centrale et Antilles (autre),Southern America & Central America & Antilles (other)
other spanish west indies,Antilles espagnoles (Autre),Spanish Antilles (other)
other west indies,Antilles (Autre),Antilles (other)
ott,Empire Ottoman,Turkey
pacific islands (foreign),Iles du Pacifique,Pacific Islands
pacific islands (not elsewhere stated),Iles du Pacifique,Pacific Islands
pacific ocean,Iles du Pacifique,Pacific Islands
pacific ocean (stille zuidzee),Iles du Pacifique,Pacific Islands
pacific ports,Iles du Pacifique,Pacific Islands
padang,Padang,Padang
pahang,Pahang,Pahang
palembang,Palembang,Palembang
palerme,Sicile (Palerme),Palermo
palestine,Palestine,Palestine
panama,Panama,Panama
panama (par l'atlantique),Panama (par l'Atlantique),Panama (Atlantic Coast)
panama (par le pacifique),Panama (par le Pacifique),Panama (Pacific Coast)
papal ports on the mediterranean,Etats Romains (ports sur la Méditerranée),Papal States Mediterranean Ports
papal states,Etats Romains,Papal States
papal territory,Etats Romains,Papal States
papua,Papua,Papua
par terre et voie fluviale,Par terre et par voie fluviale,World (land and river)
paraguai,Paraguay,Paraguay
paraguay,Paraguay,Paraguay
paraguay (république du),Paraguay,Paraguay
parme et plaisance,Parme et Plaisance,Parma & Piacenza
"parme, modène, lucques, toscane et etats romains",Parme et Modène et Lucques et Toscane et Etats romains,Lucca & Modena & Papal States & Parma & Tuscany
"parme, plaisance et autres",Parme et Plaisance et Autre,Other countries & Parma & Piacenza
patagonia,Patagonie,Patagonia
patagonia: ports on the pacific,Patagonie,Patagonia
pays bas,Pays-Bas,Netherlands
pays- bas,Pays-Bas,Netherlands
pays bas et villes anséatiques,Pays-Bas et Villes hanséatiques,Bremen & Hamburg & Lubeck & Netherlands
pays danubiens,Moldavie et Valachie,Moldavia & Wallachia
pays de la méditerrannée,Méditerranée,Mediterranean Ports
pays d'europe et du levant,Europe et Levant,Levant & Europe
pays scandinaves,Scandinavie,Scandinavia
pays-bas,Pays-Bas,Netherlands
pays-bas (amsterdam),Amsterdam,Amsterdam
pays-bas (amsterdam)**,Amsterdam,Amsterdam
pays-bas (curaçao),Antilles néerlandaises (Curaçao),Curacao
pays-bas (rotterdam),Rotterdam,Rotterdam
pays-bas et belgique,Belgique et Pays-Bas,Belgium & Netherlands
pays-bas et colonies,Pays-Bas et Colonies hollandaises,Dutch Colonies & Netherlands
pays-bas et possessions,Pays-Bas et Colonies hollandaises,Dutch Colonies & Netherlands
pays-bas**,Pays-Bas,Netherlands
"pays-bas, belgique",Belgique et Pays-Bas,Belgium & Netherlands
pégu,Birmanie (Pegu),Bago (Pegu)
"pégu, rangoon",Birmanie (Rangoon et Pegu),Bago (Pegu) & Rangoon
penang,Pinang,Penang
"penang, singapore, and malacca",Pinang et Malacca et Singapour,Malacca & Penang & Singapore
péninsule ibérique,Espagne et Portugal,Portugal & Spain
péninsule italique,Italie,Italy
péninsule malaise,Malaisie,Malaysia (Malaya)
"péninsule malaise, sumatra",Malaisie et Sumatra,Malaysia (Malaya) & Sumatra
péninsule malay,Malaisie,Malaysia (Malaya)
péninsule scandinave,Suède et Norvège,Norway & Sweden
perak,Perak,Perak
perim,Perim,Perim I.
perou,Pérou,Peru
pérou,Pérou,Peru
pérou (haut et bas),Pérou,Peru
pérou et bolivie,Pérou et Bolivie,Bolivia & Peru
pérou et chili,Pérou et Chili,Chile & Peru
pérou et equateur,Pérou et Equateur,Ecuador & Peru
pérou et pacifique,Pérou et Pacifique,Pacific Islands & Peru
pérou**,Pérou,Peru
"perou, bolivie",Pérou et Bolivie,Bolivia & Peru
perse,Perse,Iran (Persia)
perse (tauris),Perse (Tauris),Tabriz (Tauris)
persia,Perse,Iran (Persia)
persia (or persian gulf),Perse,Iran (Persia)
persian gulf,Golfe persique,Persian Gulf
peru,Pérou,Peru
peru & bolivia,Pérou et Bolivie,Bolivia & Peru
peru and bolivia,Pérou et Bolivie,Bolivia & Peru
petani,Petani,Sungai Petani
philadelphie,Philadelphie,Philadelphia
philippine and ladrone islands,Philippines et Iles Ladrone (Mariannes),Mariana Is. & Philippines
philippine and ladrone islands (spain),Philippines et Iles Ladrone (Mariannes),Mariana Is. & Philippines
philippine islands,Philippines,Philippines
philippine islands (spain),Philippines,Philippines
philippine islands and guam (united states of america),Philippines et Guam,Guam & Philippines
"philippine islands, cochin china, siam and java",Philippines et Cochinchine et Siam et Java,Cochin China & Indonesia (Dutch East Indies) & Philippines & Thailand (Siam)
philippines,Philippines,Philippines
philippines (manille),Philippines (Manille),Manila
philippines and guam,Philippines et Guam,Guam & Philippines
philippines and sulu archipelago,Philippines et Archipel des Sulu,Philippines & Sulu Sultanate
philippines islands,Philippines,Philippines
philippines islands and guam,Philippines et Guam,Guam & Philippines
philippines**,Philippines,Philippines
"philippines, chine, cochinchine et océanie",Philippines et Chine et Cochinchine et Océanie,China (People's Republic of China) & Cochin China & Oceania & Philippines
"philippines, cochinchine, siam, java",Philippines et Cochinchine et Siam et Java,Cochin China & Indonesia (Dutch East Indies) & Philippines & Thailand (Siam)
phlippine islands,Philippines,Philippines
piémont et sardaigne,Sardaigne et Piémont,Piedmont & Sardinia
piémont et sardaigne**,Sardaigne et Piémont,Piedmont & Sardinia
pinang,Pinang,Penang
"pinang, malacca",Pinang et Malacca,Malacca & Penang
pingang,Pinang,Penang
plata,Etats du Rio de La Plata,Viceroyalty of La Plata
plata (port de montevideo seulement),Uruguay (Montevideo),Montevideo
poland,Pologne,Poland
poland (including danzig),Pologne et Dantzig,Danzig & Poland
poland and dantzig,Pologne et Dantzig,Danzig & Poland
pôle sud,Pôle Sud,Antarctic
polinesia,Polynésie,Polynesia
polinesia (isla),Polynésie,Polynesia
polinesia (islas),Polynésie,Polynesia
pologne,Pologne,Poland
pologne (+ dantzig),Pologne et Dantzig,Danzig & Poland
pologne (+dantzig),Pologne et Dantzig,Danzig & Poland
pologne (y compris dantzig),Pologne et Dantzig,Danzig & Poland
pologne et dantzig,Pologne et Dantzig,Danzig & Poland
pologne russe et autrichienne par vistule,Pologne russe et autrichienne par Vistule,Poland
"pologne, galicie, provinces russes",Pologne et Galicie et Provinces russes,Galicia & Poland & Russian provinces
"pologne, russie",Pologne russe,Russian Poland
polynésie française,Polynésie française,French Oceania
pondicherry,Pondichéry,Pondicherry
pondichéry,Pondichéry,Pondicherry
pontianak,Pontianak,Pontianak
pontifical states,Etats Romains,Papal States
port dantzig,Dantzig,Danzig
port de mogador,Mogador,Essaouira (Mogador)
port d'italie (livourne),"Italie (Toscane, Livourne)",Livorno
port d'italie (trieste),Trieste,Trieste
port maurice,Italie (Port Maurice),Imperia (Porto Maurizio)
port natal,Natal,Natal
port of balaklava (in the occupation of the allied forces),Ukraine (Balaklava),Balaklava
port said and suez,Port Said et Suez,Suez Canal Zone
port sudan,Port Sudan,Port Sudan
porto novo,Porto-Novo,Porto Novo
porto rico,Porto Rico,Puerto Rico
porto rico (spain),Porto Rico,Puerto Rico
porto rico (united states of america),Porto Rico,Puerto Rico
porto rico and other spanish west indies,Porto Rico et Autres Antilles espagnoles,Puerto Rico & Spanish Antilles (other)
"porto rico, saint thomas",Porto Rico et Ile Saint-Thomas,Puerto Rico & St. Thomas
porto rico‡,Porto Rico,Puerto Rico
porto-novo,Porto-Novo,Porto Novo
porto-rico,Porto Rico,Puerto Rico
portorico and other spanish west indies,Porto Rico et Autres Antilles espagnoles,Puerto Rico & Spanish Antilles (other)
ports baltique,Ports de la Baltique,Baltic Ports
ports brésiliens,Brésil (ports),Brazil Ports
ports d'allemagne,Allemagne (ports),German Ports
ports de la baltique,Mer Baltique (ports),Baltic Ports
ports de la mediterranée,Méditerranée (ports),Mediterranean Ports
ports de la méditerranée,Méditerranée (ports),Mediterranean Ports
ports de la méditerrannée,Méditerranée (ports),Mediterranean Ports
ports de la plata,Etats du Rio de La Plata (Ports),Viceroyalty of La Plata Ports
ports de l'adriatique,Ports de l'Adriatique,Adriatic Ports
ports de l'empire,Brésil (ports),Brazil Ports
ports de république argentine,Argentine (Ports),Argentina Ports
ports d'espagne,Espagne (ports),Spain Ports
ports divers,Ports (Autre),World (other)
ports du brésil,Brésil (ports),Brazil Ports
ports européens de la mer noire et de la mediterranée,Mer noire (ports européens) et Mediterranée (ports européens),Black Sea European Ports & Mediterranean European Ports
ports francs,Ports francs,Free ports
ports océan pacifique,Océan pacifique (ports),Pacific Ports
ports of the crinea (in the temporary occupation of the allied forces),Crimée (ports),Crimea Ports
ports russes baltique,Russie (Mer Baltique),Russia (Baltic Sea)
ports russes mer noire,Russie (Mer Noire),Russia (Black Sea)
ports sud afrique,Sud de l'Afrique (ports),Southern Africa Ports
ports turcs,Turquie (ports),Turkish Ports
portugal,Portugal,Portugal
portugal (+madère et açores),Portugal et Madère et Açores,Azores (Western Isles) & Madeira Isles & Portugal
portugal (+madère),Portugal et Madère,Madeira Isles & Portugal
portugal (algarves),Portugal (Algarves),Algarve
portugal (figueira),Portugal (Figueira),Figueira
portugal (including madeira),Portugal et Madère,Madeira Isles & Portugal
portugal (lisbonne),Lisbonne,Lisbon
portugal (madère port de funchal),"Portugal (Madère, Funchal)",Madeira Isles
portugal (madère),Madère,Madeira Isles
portugal (oporto),Portugal (Porto),Porto
portugal (porto et lisbonne),Lisbonne et Porto,Lisbon & Porto
portugal (porto),Porto,Porto
portugal (porto)**,Porto,Porto
portugal (saint-ubes sétuval),Portugal (Saint Ubes),Setúbal
portugal and dependencies,Portugal et Dépendances portugaises,Portugal & Portuguese Dependencies
portugal and madeira,Portugal et Madère,Madeira Isles & Portugal
portugal and portuguese east africa,Portugal et Afrique orientale portuguaise,Portugal & Portuguese East Africa
portugal and portuguese possessions,Portugal et Colonies portugaises,Portugal & Portuguese Colonies
portugal azores,Açores,Azores (Western Isles)
portugal et colonies,Portugal et Colonies portugaises,Portugal & Portuguese Colonies
portugal et iles,Portugal et Colonies portugaises,Portugal & Portuguese Colonies
portugal et madère,Portugal et Madère,Madeira Isles & Portugal
portugal et possesions,Portugal et Colonies portugaises,Portugal & Portuguese Colonies
portugal et possessions,Portugal et Colonies portugaises,Portugal & Portuguese Colonies
portugal et ses colonies,Portugal et Colonies portugaises,Portugal & Portuguese Colonies
portugal et ses possessions,Portugal et Colonies portugaises,Portugal & Portuguese Colonies
portugal madeira,Madère,Madeira Isles
portugal proper,Portugal,Portugal
portugal**,Portugal,Portugal
"portugal, azores",Açores,Azores (Western Isles)
"portugal, espagne",Espagne et Portugal,Portugal & Spain
"portugal, madeira",Madère,Madeira Isles
"portugal, possessions portugal",Portugal et Colonies portugaises,Portugal & Portuguese Colonies
"portugal, proper",Portugal,Portugal
portugese east africa,Afrique orientale portugaise,Portuguese East Africa
portugiesisch ostafrika,Afrique orientale portugaise,Portuguese East Africa
portuguese africa,Afrique portugaise,Portuguese Africa
portuguese colonies,Colonies portugaises,Portuguese Colonies
portuguese east africa,Afrique orientale portugaise,Portuguese East Africa
portuguese east africa (portugal),Afrique orientale portugaise,Portuguese East Africa
portuguese east indies,Asie portugaise,Portuguese Asia
portuguese indies,Inde portugaise,Portuguese India (incl. Goa Diu Daman)
portuguese posessions in india,Inde portugaise,Portuguese India (incl. Goa Diu Daman)
portuguese possessions,Colonies portugaises,Portuguese Colonies
portuguese possessions in africa,Afrique portugaise,Portuguese Africa
portuguese possessions in asia,Asie portugaise,Portuguese Asia
portuguese possessions in eastern africa (portugal),Afrique orientale portugaise,Portuguese East Africa
portuguese possessions in india,Inde portugaise,Portuguese India (incl. Goa Diu Daman)
portuguese possessions in india (portugal),Inde portugaise,Portuguese India (incl. Goa Diu Daman)
portuguese possessions in indian seas (portugal),Colonies portugaises dans l'Océan indien,Portuguese Oceania
portuguese possessions in the indian seas,Colonies portugaises dans l'Océan indien,Portuguese Oceania
portuguese possessions in the indian seas (portugal),Colonies portugaises dans l'Océan indien,Portuguese Oceania
portuguese possessions in the indian seas (portugal)†,Colonies portugaises dans l'Océan indien,Portuguese Oceania
portuguese possessions in the indian seas† (portugal),Colonies portugaises dans l'Océan indien,Portuguese Oceania
portuguese possessions in west africa,Afrique occidentale portugaise,Portuguese West Africa
portuguese possessions in western africa (portugal),Afrique occidentale portugaise,Portuguese West Africa
portuguese possessions india (portugal),Inde portugaise,Portuguese India (incl. Goa Diu Daman)
portuguese possessions the indian seas (portugal)†,Colonies portugaises dans l'Océan indien,Portuguese Oceania
"portuguese possessions, india (portugal)",Inde portugaise,Portuguese India (incl. Goa Diu Daman)
"portuguese possessions, western africa (portugal)",Afrique occidentale portugaise,Portuguese West Africa
"portuguese possessions,eastern africa (portugal)",Afrique orientale portugaise,Portuguese East Africa
portuguese west africa,Afrique occidentale portugaise,Portuguese West Africa
portuguese west africa (cape verd islands),Cap Vert,Cape Verde
portuguese west africa (continental  territory),Afrique occidentale portugaise,Portuguese West Africa
portuguese west africa (portugal),Afrique occidentale portugaise,Portuguese West Africa
"portugueses possessions in africa, &c",Afrique portugaise,Portuguese Africa
posesiones alemanas en africa,Afrique allemande,German Africa
posesiones alemanas en oceania,Océanie allemande,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
posesiones belgas en africa,Congo belge,Zaire (Kinshasa) (Belgian Congo)
posesiones danesas en america,Amérique danoise,Danish America
posesiones danesas en euorpa,Europe danoise,Danish Europe
posesiones francesas en africa,Afrique française,French Africa
posesiones francesas en africa (senagambia),Afrique française (Sénégambie),Senegal
posesiones francesas en america,Amérique française,French America
posesiones francesas en asia,Asie française,French Asia
posesiones francesas en asia y oceania,Asie française et Océanie française,French Asia & French Oceania
posesiones francesas en oceania,Océanie française,French Oceania
posesiones holandesas en america,Amérique néerlandaise,Dutch America
posesiones holandesas en asia,Asie néerlandaise,Dutch Asia
posesiones holandesas en asia y oceania,Asie néerlandaise et Océanie néerlandaise,Dutch Asia & Dutch Oceania
posesiones holandesas en oceania,Océanie néerlandaise,Dutch Oceania
posesiones inglesas en africa,Afrique britannique,British Africa
posesiones inglesas en america,Amérique britannique,British America
posesiones inglesas en asia,Asie britannique,British Asia
posesiones inglesas en asia y oceania,Asie britannique et Océanie britannique,British Asia & British Oceania
posesiones inglesas en europa,Europe britannique,British Europe
posesiones inglesas en oceania,Océanie britannique,British Oceania
posesiones portuguesas (isla de la madera),Madère,Madeira Isles
posesiones portuguesas en africa,Afrique portugaise,Portuguese Africa
posesiones portuguesas en america,Amérique portugaise,Portuguese America
posesiones portuguesas en asia,Asie portugaise,Portuguese Asia
posesiones portuguesas en asia y oceania,Asie portugaise et Océanie portugaise,Portuguese Asia & Portuguese Oceania
posesiones portuguesas en europa,Europe portugaise,Portuguese Europe
poss. brit. afrique occ. et or.,Afrique britannique,British Africa
poss. hollandaises en amérique,Antilles néerlandaises,Netherlands Antilles
possessions allemandes en océanie,Océanie allemande,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
possessions anglaises,Colonies britanniques,British Colonies
possessions anglaises amer. nord,Amérique du Nord britannique,British North America
possessions anglaises an afrique,Afrique britannique,British Africa
possessions anglaises d'afrique,Afrique britannique,British Africa
possessions anglaises d'amérique,Amérique britannique,British America
possessions anglaises dans la méditerranée,Méditerranée britannique,British Mediterranean
possessions anglaises dans méditerranée,Méditerranée britannique,British Mediterranean
possessions anglaises d'asie,Asie britannique,British Asia
possessions anglaises d'australie,Australie,Australia
possessions anglaises de l'am. nord,Amérique du Nord britannique,British North America
possessions anglaises de l'amer. nord,Amérique du Nord britannique,British North America
possessions anglaises en afrique,Afrique britannique,British Africa
possessions anglaises en am. nord,Amérique du Nord britannique,British North America
possessions anglaises en amérique,Amérique britannique,British America
possessions anglaises en méditerranée,Méditerranée britannique,British Mediterranean
possessions anglaises- gibraltar,Gibraltar,Gibraltar
possessions anglaises**,Colonies britanniques,British Colonies
possessions anglaises: malte et gibraltar,Malte et Gibraltar,Gibraltar & Malta
possessions anglaisess en afrique,Afrique britannique,British Africa
possessions anglaises-terre neuve,Terre-Neuve,Newfoundland
possessions britan.,Colonies britanniques,British Colonies
possessions britan. amer. nord,Amérique du Nord britannique,British North America
possessions britan. amérique nord,Amérique du Nord britannique,British North America
possessions britanniques,Colonies britanniques,British Colonies
"possessions britanniques (sans australie, nz,canada, afrique du sud)",Colonies britanniques (sauf Australie et Nouvelle-Zélande et Canada et Afrique du Sud),British Colonies (other)
possessions britanniques en océanie,Océanie britannique,British Oceania
possessions danoises,Colonies danoises,Danish Colonies
possessions danoises d'amérique,Antilles danoises,Virgin Islands (Danish West Indies)
possessions danoises des antilles,Antilles danoises,Virgin Islands (Danish West Indies)
possessions danoises en amérique,Antilles danoises,Virgin Islands (Danish West Indies)
