RICname,type,continent,COW_code,slug,part_of_country,wikidata,lat,lng
Danish Colonies & Denmark,group,World,,DanishColonies_Denmark,,,56.0,10.0
Central Africa,geographical_area,Africa,,,,,,
Denmark & Sweden,group,Europe,,Denmark_Sweden,,,58.5,12.5
Belgium & Germany & Iran (Persia) & Morocco & Other countries & Sweden,group,World,,Belgium_Germany_IranPersia_Morocco_Othercountries_Sweden,,,41.95113721193685,19.929102553233577
Arica,city/part_of,America,,Arica,Chile,,,
Jordan (Transjordan) & Palestine,group,Asia,,,,,31.4895138889,35.86855555555
Cook Is.,country,Oceania,925,,,Q26988,-15,-161
World Federico Tena,geographical_area,World,,WorldFedericoTena,,,,
Belgium & Germany & Morocco & Other countries & Spain,group,World,,Belgium_Germany_Morocco_Othercountries_Spain,,,43.68391995782265,1.8693043946176768
United Kingdom & British Mediterranean,group,Europe,,UnitedKingdom_BritishMediterranean,,,54.6,-2.0
South West Africa,city/part_of,Africa,,,South Africa,,,
British South America (other),colonial_area,America,,BritishSouthAmericaother,United Kingdom,,,
Greenland,country,America,10,Greenland,,Q223,72,-40
Pará,city/part_of,America,,Pará,Brazil,,,
Coromandel Coast Posts,country,Asia,7503,CoromandelCoastPosts,,Q182561,13.3666666667,80.3333333333
Turkey & Western Anatolia,group,Asia,,Turkey_WesternAnatolia,,,39.0,34.0
Argentina & Brazil & Southern America,geographical_area,America,,Argentina_Brazil_SouthernAmerica,,,,
Manchuria,country,Asia,7111,Manchuria,,Q81126,45,125
Buenos Aires & Montevideo,group,America,,BuenosAires_Montevideo,,,-34.5997222222,-58.3819444444
Cyprus & Gozo & Malta,group,Europe,,Cyprus_Gozo_Malta,,,35.44166666665,23.75
Denmark & Madeira Isles & Spain,group,World,,Denmark_MadeiraIsles_Spain,,,42.916666666666664,-3.3333333333333335
Mozambique & Zanzibar,group,Africa,,Mozambique_Zanzibar,,,-12.56666666665,37.15833333335
French Entrepôts,city/part_of,Europe,,,,,,
Cyprus & Malta,group,Europe,,,,,35.44166666665,23.75
Dodecanese Is. (Aegean Is.) & Italy,group,Europe,,,,,39.436499999999995,19.859
Kenya (British East Africa Protectorate) & Zanzibar,group,Africa,,KenyaBritishEastAfricaProtectorate_Zanzibar,,,-3.0166666666500004,38.65833333335
other Ports,city/part_of,Asia,,,India,,,
Selangore,country,Asia,8202,,,Q189710,3.3333333333,101.5
Java (foreign flag),city/part_of,Asia,,Javaforeignflag,Indonesia (Dutch East Indies),,,
Kolkata (Calcutta),city/part_of,Asia,,KolkataCalcutta,India,,,
British Columbia,country,America,1027,BritishColumbia,,Q1974,54.5,-124.5
Tunis,city/part_of,Africa,,Tunis,Tunisia,,,
Casablanca & El Jadida (Mazaghan),group,Africa,,Casablanca_ElJadidaMazaghan,,,,
French Asia,colonial_area,Asia,,FrenchAsia,France,,,
British Africa (other),colonial_area,America,,BritishAfricaother,United Kingdom,,,
North American Colonies,colonial_area,America,,NorthAmericanColonies,United Kingdom,,,
Brunei,country,Asia,835,Brunei,,Q921,4.4,114.566667
Socotra I.,country,Asia,6800,SocotraI.,,Q2860218,12.3,53.3
Southern Africa (other),geographical_area,Africa,,,,,,
British Mediterranean,colonial_area,Mediterranean,,BritishMediterranean,United Kingdom,,,
Rhode Is.,city/part_of,America,,,United States of America,,,
Europe (other),geographical_area,Europe,,Europeother,,,,
Portuguese Oceania,colonial_area,Oceania,,PortugueseOceania,Portugal,,,
Montenegro,country,Europe,348,Montenegro,,Q236,42.766667,19.216667
Japan & Republic of China (Taiwan) (Formosa),group,Asia,,Japan_RepublicofChinaTaiwanFormosa,,,29.500000000000004,128.5
New South Wales & Western Australia,group,Oceania,,NewSouthWales_WesternAustralia,,,-29.000000000000004,134.0
Lucca,country,Europe,336,Lucca,,Q13373,43.85,10.5166666667
Mecca & Persian Gulf,geographical_area,Asia,,Mecca_PersianGulf,,,,
Cayenne Is. & French Guyana,group,America,,,,,3.99886,-52.99994
Senegal,country,Africa,433,Senegal,,Q1041,14.366667,-14.283333
Saxony,country,Europe,269,Saxony,,Q1202,51.0269444444,13.3588888889
Red Sea Ports in Africa,geographical_area,Africa,,,,,,
Falkland Is.,country,America,1163,FalklandIs.,,Q9648,-51.75,-59
Rwanda-Urundi,country,Africa,515,,,Q590743,-2.7442,29.8993
Milan & Papal States & Tuscany,group,Europe,,Milan_PapalStates_Tuscany,,,43.57364814813334,10.886555555566666
Bordeaux,city/part_of,Europe,,Bordeaux,France,,,
Libya (Tripolitania Cyrenaica Fezzan) & Morocco,group,Africa,,,,,29.500000000000004,5.5
Porto,city/part_of,Europe,,Porto,Portugal,,,
Arica & Tacna,group,America,,Arica_Tacna,,,,
Mawlamyine,city/part_of,Asia,,Mawlamyine,Burma (Myanmar),,,
Costa Rica & El Salvador & Guatemala & Honduras,group,America,,CostaRica_ElSalvador_Guatemala_Honduras,,,13.306547866142822,-87.17358569637442
Nassau,city/part_of,America,,Nassau,Bahamas,,,
America,geographical_area,America,,America,,,,
Africa Coast (West) (other),geographical_area,Africa,,,,,,
Sao Tome-Principe,country,Africa,403,SaoTome-Principe,,Q1039,0.316667,6.6
Banjermassin (Dutch Borneo) & Brunei & Labuan I. & Sabah (North Borneo) & Sarawak,group,Asia,,,,,2.1179915203015898,115.15074187147948
Java & Sumatra,group,Asia,,Java_Sumatra,,,,
Spain,country,Europe,230,Spain,,Q29,40,-3
Kongpot,city/part_of,Asia,,Kongpot,,,,
Danish Guyana,colonial_area,America,,,Denmark,,,
Prince Edward Is.,country,America,1024,PrinceEdwardIs.,,Q1979,46.25,-63
France (Atlantic Coast),city/part_of,Europe,,,France,,,
Hanover & Oldenburg,group,Europe,,Hanover_Oldenburg,,,52.75916666665,8.97625
Pemba Island & Zanzibar,group,Africa,,PembaIsland_Zanzibar,,,-6.1333333333,39.3166666667
Vancouver,country,America,1028,Vancouver,,Q24639,49.25,-123.1
Dutch Colonies (other),colonial_area,World,,DutchColoniesother,Netherlands,,,
St. Vincent and the Grenadines,country,America,57,St.VincentandtheGrenadines,,Q757,13.1666666667,-61.2333333333
Portuguese South Africa,colonial_area,Africa,,,Portugal,,,
Papua New Guinea,country,Oceania,910,PapuaNewGuinea,,Q691,-6.3,147
Greenland & Svalbard Is.,group,World,,Greenland_SvalbardIs.,,,75.0,-12.000000000000002
Federal Republic of Central America,country,America,89,,,,,
Corps Expeditionnaire d'Orient (Gallipoli and Dardanelles),colonial_area,Asia,,,,,,
United Kingdom & British Colonies,group,World,,UnitedKingdom_BritishColonies,,,54.6,-2.0
Thoothukudi (Tuticorin),city/part_of,Asia,,ThoothukudiTuticorin,India,,,
Thailand (Siam),country,Asia,800,ThailandSiam,,Q869,14,101
China (People's Republic of China) & India,group,Asia,,ChinaPeople'sRepublicofChina_India,,,28.500000000000004,90.0
Pahang,country,Asia,8203,Pahang,,Q191346,3.75,102.5
British America (other),colonial_area,America,,BritishAmericaother,United Kingdom,,,
South West Africa (German West Africa) (Namibia) & Togo (French Togoland),group,Africa,,SouthWestAfricaGermanWestAfricaNamibia_TogoFrenchTogoland,,,-7.375000000000001,9.0916665
Argentina & Southern America (other),geographical_area,America,,Argentina_SouthernAmericaother,,,,
Russia (North and Pacific Ports),city/part_of,Europe,,,Russia/USSR,,,
British Equatorial West Africa,colonial_area,Africa,,,United Kingdom,,,
Canary Is. & Spanish Morocco,group,Africa,,,,,31.768,-10.1245
German Oceania,colonial_area,Oceania,,GermanOceania,Germany,,,
Congo (Brazzaville) (French Congo) (Middle Congo),country,Africa,484,CongoBrazzavilleFrenchCongoMiddleCongo,,Q971,-0.75,15.3833305556
Mauritius & Seychelles,group,Africa,,Mauritius_Seychelles,,,-13.649999999999999,55.1333335
Prussia (by sea and river),city/part_of,Europe,,Prussiabyseaandriver,Prussia,,,
Philippines,country,Asia,840,Philippines,,Q928,12,123
Java & Bali & Riau,group,Asia,,Java_Bali_Riau,,,-3.9008333333500005,108.2690277778
Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories,group,America,,QuebecLowerCanada_OntarioUpperCanada_Manitoba_Rupert'sLand_NorthwestTerritories,,,52.99999999999999,-83.1
Egypt/United Arab Republic & Sudan (Anglo-Egyptian),group,Africa,,EgyptUnitedArabRepublic_SudanAnglo-Egyptian,,,21.3165277778,30.7665277778
France,country,Europe,220,France,,Q142,47,2
Benghazi,city/part_of,Africa,,Benghazi,Libya (Tripolitania Cyrenaica Fezzan),,,
Kingdom of Sardinia & Monaco,group,Europe,,KingdomofSardinia_Monaco,,,41.902666666650006,8.19833333335
Bengal & Burma (Myanmar),group,Asia,,Bengal_BurmaMyanmar,,,22.0,96.00000000000001
Spain (Foreign flag),city/part_of,Europe,,,Spain,,,
Sind,country,Asia,7693,Sind,,Q37211,24.87,67.05
New South Wales & Queensland,group,Oceania,,NewSouthWales_Queensland,,,-26.0,145.0
Penang,country,Asia,8272,Penang,,Q188096,5.3833305556,100.25
Bermuda,country,America,30,Bermuda,,Q23635,32.333333,-64.75
French Guyana,country,America,120,FrenchGuyana,,Q3769,3.99886,-52.99994
French Guyana & French West Indies,group,America,,,,,3.99886,-52.99994
France & Tahiti,group,World,,France_Tahiti,,,14.66666666665,-73.73333333335
Saar,country,Europe,256,Saar,,Q1201,49.37715,6.8783777778
East Indies,geographical_area,Asia,,EastIndies,,,,
Azores (Western Isles) & Madeira Isles & Portugal,group,World,,AzoresWesternIsles_MadeiraIsles_Portugal,,,36.65,-18.0611111111
Bangka Island & Belitung,group,Asia,,BangkaIsland_Belitung,,,,
Moldavia & European Turkey & Wallachia,group,Europe,,Moldavia_EuropeanTurkey_Wallachia,,,45.83333333335,27.308333500000003
British Dependencies,colonial_area,World,,,United Kingdom,,,
Marie-Galante,city/part_of,America,,Marie-Galante,Guadeloupe,,,
Albania & Yugoslavia/Serbia,group,Europe,,,,,42.910277777800005,20.2311111111
Trieste & Republic of St. Mark & Fiume,group,Europe,,Trieste_RepublicofSt.Mark_Fiume,,,45.51627777776666,13.6397962963
Denmark & Norway,group,Europe,,Denmark_Norway,,,60.5,10.5
Egypt/United Arab Republic & Other countries,group,World,,EgyptUnitedArabRepublic_Othercountries,,,27.0,29.000000000000004
Taganrog,city/part_of,Europe,,Taganrog,Russia/USSR,,,
Guatemala & Nicaragua,group,America,,Guatemala_Nicaragua,,,14.250000000000002,-87.62500000000001
North Germany,city/part_of,Europe,,NorthGermany,Germany (Zollverein),,,
Windward Coast of Africa,geographical_area,Africa,,WindwardCoastofAfrica,,,,
Dodecanese Is. (Aegean Is.),country,Europe,3353,DodecaneseIs.AegeanIs.,,Q131555,36.373,27.218
Moresnet,country,Europe,2111,Moresnet,,Q151938,50.7302777778,6.0133333333
Nevis,country,America,1076,Nevis,,Q207794,17.15,-62.5833333333
Sumatra,city/part_of,Asia,,Sumatra,Indonesia (Dutch East Indies),,,
Bulgaria & Montenegro & European Turkey & Yugoslavia/Serbia,group,Europe,,Bulgaria_Montenegro_EuropeanTurkey_YugoslaviaSerbia,,,43.44574085186666,21.7262964074
France & French Colonies,group,World,,France_FrenchColonies,,,47.0,2.0
Hanse Towns & Hanover & Heligoland & Kniphausen & Mecklenburg Schwerin & Oldenburg,group,Europe,,Bremen_Hamburg_Hanover_Heligoland_Kniphausen_Lubeck_MecklenburgSchwerin_Oldenburg,,,53.37759442576531,9.477134799707022
Dutch Oceania,colonial_area,Oceania,,DutchOceania,Netherlands,,,
Bosnia-Herzegovina,country,Europe,346,Bosnia-Herzegovina,,Q225,44,18
Bremen & Hamburg & Hanover & Lübeck,group,Europe,,Bremen_Hamburg_Hanover_Lubeck,,,53.19714444443334,9.672100000000002
French West Africa & Togo (French Togoland),group,Africa,,,,,11.371313,-2.2387925
Aden & British East Africa,group,World,,Aden_BritishEastAfrica,,,12.8,45.0333333333
Danzig,country,Europe,291,Danzig,,Q1792,54.3666666667,18.6333333333
Piedmont & Sardinia,group,Europe,,Piedmont_Sardinia,,,,
America (other) & Europe (other),geographical_area,World,,Americaother_Europeother,,,,
Indian Ocean Islands (other),geographical_area,Oceania,,IndianOceanIslandsother,,,,
Australia & Polynesia,geographical_area,Oceania,,Australia_Polynesia,,,,
Switzerland (by France),city/part_of,Europe,,SwitzerlandbyFrance,Switzerland,,,
Baltic Ports & Belgium & Germany,geographical_area,Europe,,,,,,
Kuwait,country,Asia,690,Kuwait,,Q817,29.166667,47.6
Spain & Spanish Antilles,group,World,,Spain_SpanishAntilles,,,40.0,-3.0000000000000004
Mumbai (Bombay),city/part_of,Asia,,MumbaiBombay,India,,,
Queensland,country,Oceania,905,Queensland,,Q36074,-20,143
Bengal & India & Persian Gulf,group,Asia,,Bengal_India_PersianGulf,,,22.0,77.0
Denmark & Greenland,group,World,,Denmark_Greenland,,,64.0,-15.000000000000002
Bulgaria & Romania & Yugoslavia/Serbia,group,Europe,,Bulgaria_Romania_YugoslaviaSerbia,,,44.52351851853334,23.654074074066664
Guyana (Br. Guiana),country,America,110,GuyanaBr.Guiana,,Q734,5.733333,-59.316667
Sabah (North Borneo),country,Asia,823,SabahNorthBorneo,,Q179029,5.25,117
Belize (British Honduras) & British West Indies,group,America,,,,,17.0666666667,-88.7
Other countries & Sulawesi (Celebes),geographical_area,World,,Othercountries_SulawesiCelebes,,,,
Billiton Is.,city/part_of,Asia,,,Indonesia (Dutch East Indies),,,
"Yemen Arab Republic (North Yemen, Kingdom of Yemen)",country,Asia,678,,,Q1998401,15.3547222222,44.2066666667
South Sea Islands,geographical_area,Pacific,,SouthSeaIslands,,,,
Malagasy Republic (Madagascar),country,Africa,580,MalagasyRepublicMadagascar,,Q1019,-20,47
Ivory Coast,country,Africa,437,IvoryCoast,,Q1008,8,-6
China (People's Republic of China) & East Indies,group,Asia,,ChinaPeople'sRepublicofChina_EastIndies,,,35.0,103.0
Guesloff,city/part_of,Europe,,Guesloff,Russia/USSR,,,
Cracow,country,Europe,2292,Cracow,,Q31487,50.0613888889,19.9372222222
Brazil & Viceroyalty of La Plata,group,America,,Brazil_ViceroyaltyofLaPlata,,,-24.3333335,-55.7
Sri Lanka (Ceylon),country,Asia,780,SriLankaCeylon,,Q854,7,81
Sandwich Harbour,city/part_of,Africa,,SandwichHarbour,South West Africa (German West Africa) (Namibia),,,
Fiume & Kingdom of Sardinia & Milan & Papal States & Republic of St. Mark & Tuscany & Two Sicilies,group,Europe,,Fiume_KingdomofSardinia_Milan_PapalStates_RepublicofSt.Mark_Tuscany_TwoSicilies,,,42.97353109431498,11.643077301601497
Saxe Weimar & Saxe Altenburg & Saxe Coburg and Gotha & Saxe Meiningen,group,Europe,,SaxeWeimar_SaxeAltenburg_SaxeCoburg_SaxeMeiningen,,,50.6862469251638,11.313158620301007
Balearic Islands,city/part_of,Europe,,BalearicIslands,Spain,,,
Japan & Southern Sakhalin I.,group,Asia,,Japan_SouthernSakhalinI.,,,35.0,136.0
Equatorial East Africa (other),geographical_area,Africa,,,,,,
Modena & Parma & Tuscany,group,Europe,,Modena_Parma_Tuscany,,,44.26809074073333,10.747422222233336
Mozambique & Zambia (Northern Rhodesia),group,Africa,,Mozambique_ZambiaNorthernRhodesia,,,-16.55833333335,31.31666666665
Afghanistan & Iran (Persia) & Asian Turkey,group,Asia,,Afghanistan_IranPersia_AsianTurkey,,,33.0,59.5
Arabia & Hejaz Sultanate & Iraq (Mesopotamia),geographical_area,Asia,,,,,,
Dutch Asia (other),colonial_area,Asia,,,Netherlands,,,
"Germany (Zollverein, other)",city/part_of,Europe,,"GermanyZollverein,other",Germany (Zollverein),,,
Bulhar,city/part_of,Africa,,,Somalia,,,
Crete & Greece,group,Europe,,Crete_Greece,,,36.904861111100004,23.946666666650003
West Africa & Africa (other),geographical_area,Africa,,WestAfrica_Africaother,,,,
Africa,geographical_area,Africa,,Africa,,,,
British Europe,colonial_area,Europe,,BritishEurope,United Kingdom,,,
Costa Rica,country,America,94,CostaRica,,Q800,10,-84
British India Protectorate,colonial_area,Asia,,BritishIndiaProtectorate,United Kingdom,,,
Guangzhou (Canton) & Manila,group,Asia,,GuangzhouCanton_Manila,,,,
Malaysia (Malaya),country,Asia,820,MalaysiaMalaya,,Q833,3,108
Cape Colony & Gambia & Guinea (French Guinea) (Rivieres du Sud) & Mauritius & Senegal,group,Africa,,CapeColony_Gambia_GuineaFrenchGuineaRivieresduSud_Mauritius_Senegal,,,-12.34628546956128,19.04054865459259
Comoros & Malagasy Republic (Madagascar),group,Africa,,Comoros_MalagasyRepublicMadagascar,,,-16.0916665,45.6166665
Brazil,country,America,140,Brazil,,Q155,-14,-53
India & British Asia (other),group,Asia,,,,,22.0,77.0
Bavaria,country,Europe,245,Bavaria,,Q980,48.7775,11.4311111111
German Togoland,country,Africa,460,,,Q161062,6.272,1.187
Illyria,city/part_of,Europe,,,Austria-Hungary,,,
Jakarta (Batavia),city/part_of,Asia,,JakartaBatavia,Indonesia (Dutch East Indies),,,
Baluchistan (Kalat),country,Asia,7588,,,Q2336399,28,66
Spanish East Africa,colonial_area,Africa,,SpanishEastAfrica,Spain,,,
Germany (Zollverein),country,Europe,255Z,GermanyZollverein,,Q155707,50.932,11.265
Japan & Japanese China Leased Territory & Republic of China (Taiwan) (Formosa),group,Asia,,,,,29.500000000000004,128.5
Central America & Southern America,geographical_area,America,,CentralAmerica_SouthernAmerica,,,,
Tangier,country,Africa,601,,,Q126148,35.7847222222,-5.8125
British North America & United States of America,group,America,,BritishNorthAmerica_UnitedStatesofAmerica,,,38.895,-77.0366666667
Berbice,country,America,1114,Berbice,,Q675322,6.23369,-57.543
World (other),geographical_area,World,,Worldother,,,,
Mercury Islands,city/part_of,Oceania,,MercuryIslands,New Zealand,,,
Argentina & Uruguay & Paraguay,group,America,,Argentina_Uruguay_Paraguay,,,-30.077777777766666,-59.55000000000001
Denmark & Denmark Dependencies,group,World,,,,,56.0,10.0
Black Sea,geographical_area,Europe,,,,,,
British Somaliland (Somaliland Republic) & Djibouti (Afar and Issas) (French Somaliland),group,Africa,,BritishSomalilandSomalilandRepublic_DjiboutiAfarandIssasFrenchSomaliland,,,10.675,43.24999983335
Makran & Sonmiani,group,Asia,,Makran_Sonmiani,,,,
French India & India & Portuguese India (incl. Goa Diu Daman),group,Asia,,FrenchIndia_India_PortugueseIndiaincl.GoaDiuDaman,,,16.2117,75.99986666666666
Cape Colony & Mauritius,group,Africa,,CapeColony_Mauritius,,,-26.6,37.75
Spanish America & Danish America,group,America,,SpanishAmerica_DanishAmerica,,,,
Pemba Island,city/part_of,Africa,,,Zanzibar,,,
German East Africa,colonial_area,Africa,,,Germany,,,
Neighbouring Islands,city/part_of,Asia,,,Indonesia (Dutch East Indies),,,
Iceland,country,Europe,395,Iceland,,Q189,65,-19
Guinea-Bissau (Portuguese Guinea),country,Africa,404,Guinea-BissauPortugueseGuinea,,Q1007,12,-15
Southern America & Central America & Antilles (other),geographical_area,America,,SouthernAmerica_CentralAmerica_Antillesother,,,,
British Europe (other),colonial_area,Europe,,,United Kingdom,,,
Antilles Ports (other),geographical_area,America,,,,,,
Southern America,geographical_area,America,,SouthernAmerica,,,,
U. S. Pacific Trust Territories,country,Asia,980,,,Q129237,10.5,152
Cape Colony,country,Africa,561,CapeColony,,Q370736,-33,18
Burma (Myanmar) & India & Straits Settlements,group,Asia,,BurmaMyanmar_India_StraitsSettlements,,,15.122222222233335,92.26666666666668
Corfu,country,Europe,3351,,,Q121378,39.6238888889,19.82
Southern Sakhalin I.,city/part_of,Asia,,,Japan,,,
Jamaica,country,America,51,Jamaica,,Q766,18.18,-77.4
Algarve,city/part_of,Europe,,Algarve,Portugal,,,
Turkish Ports & Hejaz Sultanate,group,Asia,,,,,21.4225,39.82611111
Dominican Republic (Santo Domingo),country,America,42,DominicanRepublicSantoDomingo,,Q786,18.8,-70.2
Manila,city/part_of,Asia,,Manila,Philippines,,,
Weihaiwei,country,Asia,7105,Weihaiwei,,Q373023,37.5,122.1
Cape Verde & Macao & Portuguese India (incl. Goa Diu Daman) & Portuguese Timor & Sao Tome-Principe,group,World,,CapeVerde_Macao_PortugueseIndiaincl.GoaDiuDaman_PortugueseTimor_SaoTome-Principe,,,7.8846119295776065,62.09046866092043
St. Thomas,city/part_of,America,,St.Thomas,Virgin Islands (Danish West Indies),,,
Karachi,city/part_of,Asia,,Karachi,India,,,
Labuan I. & Straits Settlements,group,Asia,,,,,3.3412803333500003,109.50951649999999
Solomon Islands,country,Oceania,940,SolomonIslands,,Q685,-9.4666666667,159.8166666667
Turkish Ports,city/part_of,Asia,,,Turkey,,,
Erzurum,city/part_of,Asia,,Erzurum,Turkey,,,
Canada,country,America,20,Canada,,Q16,56,-109
Klaipėda (Memel),city/part_of,Europe,,KlaipėdaMemel,Prussia,,,
Mauritius Dependencies,city/part_of,Africa,,,Mauritius,,,
Tokelau Is.,country,Oceania,9201,,,Q36823,-9.1666666667,-171.8333333333
Bulgaria & European Turkey,group,Europe,,Bulgaria_EuropeanTurkey,,,42.75,25.5
China (People's Republic of China) & Mongolia,group,Asia,,ChinaPeople'sRepublicofChina_Mongolia,,,41.0,103.5
Cuba & Haiti & Other countries & Puerto Rico,group,World,,Cuba_Haiti_Othercountries_PuertoRico,,,19.75,-72.93333333333334
Australia & New Caledonia & New Zealand,group,Oceania,,Australia_NewCaledonia_NewZealand,,,-34.6,155.5
Central Asia,geographical_area,Asia,,,,,,
Faeroe Is. & Greenland & Iceland,group,World,,FaeroeIs._Greenland_Iceland,,,66.3233148148,-21.9481601852
Spain & Spanish Dependencies,group,World,,,,,40.0,-3.0000000000000004
Italian Colonies,colonial_area,World,,ItalianColonies,Italy,,,
Hungary,country,Europe,310,Hungary,,Q28,47,19
Alexandria & Damietta & Jeddah & Rosetta,group,Africa,,Alexandria_Damietta_Jeddah_Rosetta,,,,
Denmark & Norway & Sweden,group,Europe,,Denmark_Norway_Sweden,,,60.666666666666664,12.000000000000002
Port Simon,city/part_of,Africa,,PortSimon,Cape Colony,,,
Annam & Cochin China & Kampuchea (Cambodia) & French China Leased Territory & Tonkin,group,Asia,,,,,16.193166666666666,107.26039000000003
Civitavecchia,city/part_of,Europe,,Civitavecchia,Papal States,,,
Jeddah,city/part_of,Africa,,Jeddah,Saudi Arabia (Kingdom of Hejaz and Nedj),,,
Japan,country,Asia,740,Japan,,Q17,35,136
British Antilles (other) & Jamaica & Jamaica Dependencies & Trinidad and Tobago,group,America,,,,,14.42333333335,-69.45833333335
Sydney,city/part_of,Oceania,,Sydney,New South Wales,,,
Bulgaria & Crete & European Turkey,group,Europe,,Bulgaria_Crete_EuropeanTurkey,,,39.029861111100004,25.19666666665
Tobago,country,America,1049,Tobago,,Q185111,11.25,-60.667
Elbe,city/part_of,Europe,,Elbe,,,,
Saona Island,city/part_of,America,,SaonaIsland,Dominican Republic (Santo Domingo),,,
Denmark & Faeroe Is.,group,Europe,,Denmark_FaeroeIs.,,,58.9849722222,1.5777597222000002
Leeward Coast of Africa,geographical_area,Africa,,LeewardCoastofAfrica,,,,
Málaga,city/part_of,Europe,,Málaga,Spain,,,
Austria,country,Europe,305,Austria,,Q40,48,14
Essaouira (Mogador),city/part_of,Africa,,EssaouiraMogador,Morocco,,,
Curacao,country,America,1065,Curacao,,Q25279,12.1666666667,-68.9666666667
Egypt/United Arab Republic & Syria,group,World,,EgyptUnitedArabRepublic_Syria,,,31.1083335,33.791666500000005
Benghazi & Tripoli,city/part_of,Africa,,,Libya (Tripolitania Cyrenaica Fezzan),,,
Mayotte,country,Africa,5812,Mayotte,,Q17063,-12.8430555556,45.1383333333
Mauritius,country,Africa,590,Mauritius,,Q1027,-20.2,57.5
Kamerun,country,Africa,470,Kamerun,,Q668294,4.0369,9.6858
Egypt/United Arab Republic & Indian Transit,group,World,,EgyptUnitedArabRepublic_IndianTransit,,,27.0,29.000000000000004
British Colonies,colonial_area,World,,BritishColonies,United Kingdom,,,
China (People's Republic of China) & Manchuria,group,Asia,,ChinaPeople'sRepublicofChina_Manchuria,,,40.0,114.00000000000001
Morocco & Libya (Tripolitania Cyrenaica Fezzan),group,Africa,,Morocco_LibyaTripolitaniaCyrenaicaFezzan,,,29.500000000000004,5.5
French Oceania,colonial_area,Oceania,,FrenchOceania,France,,,
Sicily,country,Europe,3291,Sicily,,Q1460,37.5999583333,14.0153777778
Switzerland,country,Europe,225,Switzerland,,Q39,46.798562,8.231973
Angra Pequena,city/part_of,Africa,,AngraPequena,South West Africa (German West Africa) (Namibia),,,
East Asia (other),geographical_area,Asia,,,,,,
French West Indies & St. Pierre and Miquelon,group,America,,,,,46.825,-56.275
Malacca & Penang & Singapore,group,Asia,,Malacca_Penang_Singapore,,,2.9611101852,102.10033333333332
French Equatorial West Africa,colonial_area,Africa,,,France,,,
Gambia & Senegal,group,Africa,,Gambia_Senegal,,,13.933333499999998,-14.8916665
French South Africa,colonial_area,Africa,,,France,,,
Lithuania,country,Europe,368,Lithuania,,Q37,55.2,24
Ecuador & Peru,group,America,,Ecuador_Peru,,,-5.2,-77.0
Oldenburg & Prussia,group,Europe,,Oldenburg_Prussia,,,52.83059444445,10.80139444445
Papal States & Tuscany,group,Europe,,PapalStates_Tuscany,,,42.627,11.73483333335
Antilles (other),geographical_area,America,,Antillesother,,,,
Spain & Spanish Colonies,group,World,,Spain_SpanishColonies,,,40.0,-3.0000000000000004
Republic of China (Taiwan) (Formosa),country,Asia,713,RepublicofChinaTaiwanFormosa,,Q865,24,121
Australia (other),city/part_of,Oceania,,Australiaother,Australia,,,
United States of America (Pacific Coast),city/part_of,America,,,United States of America,,,
Delhi,city/part_of,Asia,,Delhi,India,,,
Antilles & Central America,geographical_area,America,,Antilles_CentralAmerica,,,,
Eritrea & Djibouti (Afar and Issas) (French Somaliland),group,Africa,,,,,13.6416665,40.3416665
Jolo,city/part_of,Asia,,Jolo,Philippines,,,
Cuba & Curacao & Guadeloupe & Martinique & Puerto Rico & St. Thomas & St. Croix,group,America,,Cuba_Curacao_Guadeloupe_Martinique_PuertoRico_St.Thomas_St.Croix,,,16.666656547169797,-69.33908779351898
Far Eastern Republic,country,Europe,735,,,Q61292,51.83333333,107.6
Valparaíso,city/part_of,America,,Valparaíso,Chile,,,
Pernambuco,city/part_of,America,,Pernambuco,Brazil,,,
Dalmatia,city/part_of,Europe,,,Austria-Hungary,,,
Grenada,country,America,55,Grenada,,Q769,12.116667,-61.666667
Madeira Isles & Canary Is.,group,Africa,,MadeiraIsles_Tenerife,,,30.642999999999994,-16.374499999999998
French Africa,colonial_area,Africa,,FrenchAfrica,France,,,
Guangzhou (Canton),city/part_of,Asia,,GuangzhouCanton,China (People's Republic of China),,,
Lombok,country,Oceania,8542,Lombok,,Q7564,-8.565,116.351
Tanintharyi Region,city/part_of,Asia,,,Burma (Myanmar),,,
Zeila,city/part_of,Africa,,Zeila,British Somaliland (Somaliland Republic),,,
Diyarbakir,city/part_of,Asia,,,Turkey,,,
Central America (other),geographical_area,America,,,,,,
Tunisia,country,Africa,616,Tunisia,,Q948,34,10
Australian Northern Territory & South Australia,group,Oceania,,,Australia,,-29.999999999999996,135.0
Luxemburg,country,Europe,212,Luxemburg,,Q32,49.77,6.13
Other countries & Parma & Piacenza,geographical_area,World,,Othercountries_Parma_Piacenza,,,,
Kyrgyzstan,country,Asia,703,Kyrgyzstan,,Q813,41,75
Chinese Ports (other),city/part_of,Asia,,,China (People's Republic of China),,,
British South America & British West Indies & Guyana (Br. Guiana),colonial_area,America,,,United Kingdom,,,
German East Africa & Germany,group,World,,GermanEastAfrica_Germany,,,51.0,10.0
Asia Ports (other),geographical_area,Asia,,,,,,
New Hebrides,country,Oceania,935,NewHebrides,,Q752431,-16.6333333333,168.0166666667
Croatia,country,Europe,344,,,Q224,45.25,15.466667
