original_name,RICname
"italie (deux-siciles, etats sardes)",Kingdom of Sardinia & Two Sicilies
italie (gênes),Genoa
italie (hors possessions autriche),Italy
italie (livourne),Livorno
italie (port maurice),Imperia (Porto Maurizio)
italie (royaume d'),Italy
italie (sicile),Sicily
"italie (toscane, toscane (livourne))",Livorno
italie (toscane),Tuscany
italie (trieste),Trieste
italie du nord,Northern Italy
italië en fiume,Fiume & Italy
italie et autriche,Austria-Hungary (Austrian Empire) & Italy
italie et colonies,Italian Colonies & Italy
"italie,grèce et levant",Greece & Italy & Levant
italie: gênes,Genoa
italie: livourne,Livorno
italie: trieste,Trieste
italien,Italy
italien og østerrige,Austria-Hungary (Austrian Empire) & Italy
italien somalilandet,Italian Somaliland
italien und malta,Italy & Malta
italienisch afrika,Italian Africa
italienisch-ostafrika,Italian East Africa
italienische ostafrika,Italian East Africa
italienska somalilet,Italian Somaliland
italija,Italy
italijanska somalija,Italian Somaliland
italijas kolonijas,Italian Colonies
italijas salas aigeja jura,Dodecanese Is. (Aegean Is.)
italu,Italy
italy,Italy
italy : papal states,Papal States
italy : sardinia,Sardinia
italy : tuscany,Tuscany
italy : two sicilies,Two Sicilies
italy and austria,Austria-Hungary (Austrian Empire) & Italy
italy and colonies,Italian Colonies & Italy
italy and fiume,Fiume & Italy
italy and italian aegean islands,Dodecanese Is. (Aegean Is.) & Italy
italy and malta,Italy & Malta
italy and sicily,Italy & Sicily
italy and the italian islands,Italy
italy generally,Italy
i̇talya,Italy
italya adalari (ege),Dodecanese Is. (Aegean Is.)
itl,Italy
itlay,Italy
iugo-eslavia,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
iugoslávia,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
ivory coast,Ivory Coast
jaapan,Japan
jaffa,Jaffa
jamaica,Jamaica
jamaica (british west india islands),Jamaica
jamaica (british west indies),Jamaica
jamaica (west india islands),Jamaica
jamaica and dependencies,Jamaica & Jamaica Dependencies
jamaica and dependencies and trinidad and tobago and other british west indian islands,British West Indies (other) & Jamaica & Jamaica Dependencies & Trinidad and Tobago
jamaica und curaçao,Curacao & Jamaica
"jamaica, trinidad und curaçao",Curacao & Jamaica & Trinidad and Tobago
jamaika,Jamaica
jamaique,Jamaica
jamaïque,Jamaica
"jamaïque, antilles",Jamaica
"jamaïque, trinité, curaçao",Curacao & Jamaica & Trinidad and Tobago
jap,Japan
japan,Japan
japán,Japan
japan (including formosa and japanese leased terrirories in china),Japan & Japanese China & Republic of China (Taiwan) (Formosa)
japan (including formosa and japanese leased territories in china),Japan & Japanese China & Republic of China (Taiwan) (Formosa)
japan (including formosa),Japan & Republic of China (Taiwan) (Formosa)
japan (including formosa) and kwantung,Japan & Kwangtung Territory & Republic of China (Taiwan) (Formosa)
japan (m. formosa),Japan & Republic of China (Taiwan) (Formosa)
japan and formosa,Japan & Republic of China (Taiwan) (Formosa)
japan and karafuto (japanese possession),Japan & Southern Sakhalin I.
japan and other african and asiatic ports,Africa (other) & Asia (other) & Japan
japan m. korea og formosa,Japan & Korea (Chosen) & Republic of China (Taiwan) (Formosa)
japan med korea,Japan & Korea (Chosen)
japan met korea,Japan & Korea (Chosen)
"japan och korea, formosa",Japan & Korea (Chosen) & Republic of China (Taiwan) (Formosa)
japan und russisch asien,Asian Russia & Japan
"japan, china, french indies, etc",French Indochina & Japan & People's Republic of China (China)
"japan, china, french indies, etc.",French Indochina & Japan & People's Republic of China (China)
"japan, korea & formosa",Japan & Korea (Chosen) & Republic of China (Taiwan) (Formosa)
japana,Japan
japanese china,Japanese China
japanese islands,Japan Islands
japanese leased territory,Japanese China
japanese oceania,Japanese Oceania
japanese pacific mandated territories,U. S. Pacific Trust Territories (South Seas Mandate)
japanese possessions,Japanese Colonies
japao,Japan
japáo,Japan
japão,Japan
japon,Japan
japón,Japan
japon (kanagawa),Kanagawa
japon (y compris formose),Japan & Republic of China (Taiwan) (Formosa)
japon et corée,Japan & Korea (Chosen)
japon et formose,Japan & Republic of China (Taiwan) (Formosa)
"japon, chine, inde française et le reste de l'asie orientale",Eastern Asia (other) & French India & Japan & People's Republic of China (China)
"japon, chine, reste asie orientale",Eastern Asia (other) & Japan & People's Republic of China (China)
"japon, chine…",Japan & People's Republic of China (China)
japon(yokohama),Yokohama
japonia,Japan
japonija,Japan
japonja,Japan
japonja i korea,Japan & Korea (Chosen)
japonsko,Japan
japonya,Japan
jaun-gvineja,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
jaun-kaledonija,New Caledonia
jaun-zelande,New Zealand
jaunzelande,New Zealand
java,Java
java (dutch east indies),Java
java (english flag),Java (English flag)
java (foreign flag),Java (foreign flag)
java (holland),Java
java (netherlands),Java
java and borneo,Dutch Borneo & Java
java and further netherland. o-i properties,Indonesia (Dutch East Indies) (other) & Java
java and further netherlands. i-o properties,Indonesia (Dutch East Indies) (other) & Java
java and further netherlands. o-i properties,Indonesia (Dutch East Indies) (other) & Java
java and further netherlands. o-i property,Indonesia (Dutch East Indies) (other) & Java
java and madura,Java & Madura
java and sumatra,Java & Sumatra
java en verdere nederl. o-i bezittingen,Dutch Asia (other) & Java
java et bornéo,Dutch Borneo & Java
java et bornéo néerlandais,Dutch Borneo & Java
java et madura,Java & Madura
java et moluques,Java & Maluku (Mollucas)
java et sumatra,Java & Sumatra
java islands,Java
"java, îles voisines",Indonesia (Dutch East Indies) (other) & Java
"java, madura",Java & Madura
"java, possessions hollandaises",Indonesia (Dutch East Indies) (other) & Java
"java, rhio, bally, etc",Bali & Java & Riau
"java, sumatra",Java & Sumatra
"java, sumatra and other parts of dutch east indies",Indonesia (Dutch East Indies) (other) & Java & Sumatra
"java, sumatra**",Java & Sumatra
java/dutch east indies,Java
jemen,Yemen Arab Republic (North Yemen) (Kingdom of Yemen)
jemena,Yemen Arab Republic (North Yemen) (Kingdom of Yemen)
jérémie,Jérémie
jersey,Jersey
jérusalem,Jerusalem
jihoafricka unie,South Africa
joego slavie,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
joego-slavië,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
johanna,Anjouan
johore,Johore
jolo,Jolo
jonische eilanden,Ionian Is.
jordan,Jordan (Transjordan)
jougoslavie,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
jpan,Japan
juan de nova,Juan de Nova I.
juan grego,Juan Griego
juddah,Jeddah
jugo-eslávia,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
jugo-slavia,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
jugoslavia,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
jugoslavien,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
jugoslawien,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
jugoslawja,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
jugosllavi,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
jungfruöarna,Virgin Islands (Danish West Indies)
juzno africka unija,South Africa
kaanada,Canada (Province of Canada)
kaap de goede hoop,Cape Colony (Cape of Good Hope)
kaffraria (south africa),British Kaffraria
kaiser wilhelm land,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
kalifornien,California (Great Bear Republic)
kamchatka,Kamchatka
kameroen en togo,German Togoland & Kamerun
kameroun,Kamerun
kamerun,Kamerun
kamerún,Kamerun
kamerun & togo,German Togoland & Kamerun
kamerun et togo,German Togoland & Kamerun
"kamerun, etc",Kamerun
"kamerun, pod mandatem brytyjskim",British Cameroons
"kamerun, pod mandatem francuskim",Cameroun (French Cameroons)
"kameruna, brit mand",British Cameroons
"kameruna, franc mand",Cameroun (French Cameroons)
kamerunas,Cameroun (French Cameroons)
kamtchatka,Kamchatka
kamtschatka,Kamchatka
kanada,Canada (Province of Canada)
kanada og newfoundland,Canada (Province of Canada) & Newfoundland and Labrador (Newfoundland)
kanala salas,Channel Is.
kanaloarna,Channel Is.
kanarieoarna,Canary Is.
kanarijas salas,Canary Is.
kanariju salas,Canary Is.
kanariøiene,Canary Is.
kanarische eilanden,Canary Is.
kanarischen inseln,Canary Is.
kanariska oarna,Canary Is.
kanaru salos,Canary Is.
kap verde-öarna,Cape Verde
kap-verde oarna,Cape Verde
kaplandet,Cape Colony (Cape of Good Hope)
kapstaden,Cape Town
kapverde salas,Cape Verde
karachi,Karachi
karadağ,Montenegro
karikal,Karaikal
katch,Unknown
kedah,Kedah
keizerrijk indië,India
kelantan,Kelantan
kénia,Kenya (British East Africa Protectorate)
kenia e uganda,Kenya (British East Africa Protectorate) & Uganda
kenia i uganda,Kenya (British East Africa Protectorate) & Uganda
kenija ir uganda,Kenya (British East Africa Protectorate) & Uganda
kenija un uganda,Kenya (British East Africa Protectorate) & Uganda
kenya,Kenya (British East Africa Protectorate)
kenya (british east africa protectorate),Kenya (British East Africa Protectorate)
kenya (british east africa),Kenya (British East Africa Protectorate)
kenya (incl. zanzibar),Kenya (British East Africa Protectorate) & Zanzibar
kenya and aden,Aden & Kenya (British East Africa Protectorate)
kenya and uganda,Kenya (British East Africa Protectorate) & Uganda
kenya and uganda protectorate,Kenya (British East Africa Protectorate) & Uganda
kenya colony,Kenya (British East Africa Protectorate)
kenya e uganda,Kenya (British East Africa Protectorate) & Uganda
kenya et uganda,Kenya (British East Africa Protectorate) & Uganda
"kenya, uganda",Kenya (British East Africa Protectorate) & Uganda
"kenya, uganda, and tanganyika",Kenya (British East Africa Protectorate) & Tanzania (Tanganyika) & Uganda
kerguelen island,Kerguelen Is.
kerguelen islands,Kerguelen Is.
kerkelijke staat,Papal States
"keyna, uganda",Kenya (British East Africa Protectorate) & Uganda
khanat de khiva,Khiva
kiauchau,Kiauchau
kiautschou,Kiauchau
kibris,Cyprus
kina,People's Republic of China (China)
kina og mandschuriet,Manchuria & People's Republic of China (China)
kina un mandzurija,Manchuria & People's Republic of China (China)
kine,People's Republic of China (China)
kingdom of siam,Thailand (Siam)
kinija,People's Republic of China (China)
kipar,Cyprus
kipra,Cyprus
kiraso,Curacao
kiti krastai,World (other)
kiuraso,Curacao
kiva,Khiva
klajpeda,Klaipėda (Memel)
klein-asien,Western Anatolia
klein-asien und persien,Iran (Persia) & Western Anatolia
kochinchina,Cochin China
koh kong,Cambodia (Kampuchea)
koh kong (cambodia),Cambodia (Kampuchea)
kokan,Kokand
kolombia,Colombia (New Granada) (Gran Colombia)
kolonje brytańskie (ameryka poludniowa),British Southern America
kolonje brytańskie w afryce wsch.,British Eastern Africa
kolonje brytańskie w afryce wschodniej,British Eastern Africa
kolonje brytańskie w afryce zach.,British Western Africa
kolonje brytańskie w afryce zachodniej,British Western Africa
kolonje francuskie w afryce wsch.,French Eastern Africa
kolonje francuskie w afryce wschodniej,French Eastern Africa
kolonje francuskie w afryce zach.,French West Africa
kolonje francuskie w afryce zachodniej,French West Africa
kolonje hiszpańskie w afryce zach.,Spanish Western Africa
kolonje hiszpańskie w afryce zachodniej,Spanish Western Africa
kolonje i mandaty belgijskie,Belgian Colonies
kolonje i posiadlósci francuskie,French Colonies
kolonje portugalskie,Portuguese Colonies
kolonje portugalskie w afryce wsch.,Mozambique (Portuguese East Africa)
kolonje portugalskie w afryce wschodniej,Mozambique (Portuguese East Africa)
kolonje portugalskie w afryce zach.,Portuguese Western Africa
kolonje portugalskie w afryce zachodniej,Portuguese Western Africa
kolonje wloskie w afryce wsch.,Italian East Africa
kolonje wloskie w afryce wschodniej,Italian East Africa
kolumbia,Colombia (New Granada) (Gran Colombia)
kolumbie,Colombia (New Granada) (Gran Colombia)
kolumbija,Colombia (New Granada) (Gran Colombia)
kolumbja,Colombia (New Granada) (Gran Colombia)
kongo,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
kongo (belgijas),Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
kongó allám,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
kongó állam,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
kongó államok,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
kongo belgijskie,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
kongo free state,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
kongo-állam,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
kongó-állam,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
kongostaat,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
kongostaten,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
kongpot,Kongpot
kooria mooria islands (arabia),Kuria Muria Is.
kordofán,Kordofan
korea,Korea (Chosen)
korea (japanese possession),Korea (Chosen)
korea†,Korea (Chosen)
korea||,Korea (Chosen)
koreja,Korea (Chosen)
kosta rika,Costa Rica
kosta-rika,Costa Rica
kostarika,Costa Rica
kotonou,Cotonou
kouang-tchéou-ouan,Kwanchowan
kouang-toung,Kwangtung Territory
koweit,Kuwait
kraje am. pln. oddz. nie wym.,Northern America (other)
kraje ameryki pólnocnej oddzielnie niewymienione,Northern America (other)
kraje azji zachodniej oprócz oddzielnie wymienionych,Western Asia (other)
kraje oceanii oddz. nie wym.,Oceania (other)
"kraje wysp. am. srodk. (oprócz kuby, s. domingo, haiti)",Southern America (other)
kreta,Crete
kribi,Kribi
kuba,Cuba
kúba,Cuba
"kuba, haiti a s. domingo",Cuba & Dominican Republic (Santo Domingo) & Haiti
"kuba, portorico",Cuba & Puerto Rico
"kuba, portoriko",Cuba & Puerto Rico
"kuba, vestindien",Cuba & West Indies (other)
kuddalore,Kuddalore
kurasao,Curacao
kurdistan,Kurdistan
kust van guinea,Guinea Coast
kuwait,Kuwait
kwan tung,Kwangtung Territory
kwangchowwan leased territory,Kwanchowan
kwantung,Kwangtung Territory
kwantung leased territory,Kwangtung Territory
kwantung peninsula,Kwangtung Territory
kwantung province,Kwangtung Territory
kwantung province (japanese possession),Kwangtung Territory
"kwantung, leased territory",Kwangtung Territory
kwatung province (japanese possession),Kwangtung Territory
kwong chow wan,Kwanchowan
kypras,Cyprus
la grande comore,Grand Comoro
la guayra et cuba,Cuba & La Guaira
la havane,Havana
la india,India
la plata,Argentina (La Plata)
la plata (buenos aires),Argentina (La Plata)
la plata (buenos ayres),Argentina (La Plata)
la plata (ports),Argentina (La Plata)
la plata et chili,Argentina (La Plata) & Chile
la plata et uruguay,Argentina (La Plata) & Uruguay
la plata o. öfrige länder i norra o. södra amerika,Argentina (La Plata) & Southern America (other)
la plata provinserna och öfriga länder i södra amerika,Argentina (La Plata) & Southern America (other)
la plata provinserne,Argentina (La Plata)
la plata provinserne o. öfrige länder i norra o. södra amerika,Argentina (La Plata) & Southern America (other)
la plata-länderna,Argentina (La Plata)
la plata-provinserne,Argentina (La Plata)
labrador,Labrador
labuan,Labuan I.
laccadive islands,Laccadive Islands
ladrone island,Mariana Is.
lagos,Lagos
lagos (marchandises étrangères),Lagos
lagos (marchandises françaises),Lagos (French produce)
lagos (west africa),Lagos
laguira,La Guaira
land uopgivet,Unknown
land ved sydishavet,Pacific Islands
landrone islands : guam,Guam
landwärts,World
landwärts per fuhr und per post,World (other)
"landwärts, per frachtfuhren",World (other)
laplatastaterne,Argentina (La Plata)
las antillas,West Indies
las palmas,Las Palmas
lati,Latvia
latvia,Latvia
latvija,Latvia
lauenbourg,Lauenburg
le cap,Cape Town
le havre,Le Havre
leedu,Lithuania
leeward coast (non british),Leeward Coast of Africa (non British)
leeward coast,Leeward Coast of Africa
leeward coast of africa,Leeward Coast of Africa
leeward coast (all),Leeward Coast of Africa
leeward is.,Leeward Is.
leeward islands,Leeward Is.
leewardsoarna,Leeward Is.
leichtenstein,Liechtenstein
lendrum,Unknown
lenkija ir dancigas,Danzig (Free City of Danzig) & Poland
léro,Leros
les cayes,Les Cayes
lesotho (basutoland),Lesotho (Basutoland)
letland,Latvia
letonia,Latvia
letonia (inclus. curlandia),Latvia
lettland,Latvia
lettonia,Latvia
lettonie,Latvia
"lettonie, esthonie",Estonia & Latvia
levant,Levant
levant and black sea,Black Sea & Levant
"leward island (l.i antigua, l.i dominica, l.i st.christopher, montserrat, nevis, virgin island)",Leeward Is.
libano,Lebanon
líbano,Lebanon
liberia,Liberia
libéria,Liberia
liberia ; britisk vest-afrika ; andre franske bes. i vest-afrika ; spanske kolonier og presidier,British Western Africa & French West Africa (other) & Liberia & Spanish Africa
libéria (république de),Liberia
liberia*,Liberia
libérie,Liberia
liberija,Liberia
liberja,Liberia
libia,Libya
líbia,Libya
libija,Libya
libya,Libya
libya (tripolis),Libya
libye,Libya
libyen,Libya
liechtenstein,Liechtenstein
lietava,Lithuania
liffland,Unknown
lilleasien og syrien,Syria & Western Anatolia
lisbon,Lisbon
lisbonne,Lisbon
litauen,Lithuania
litauen en memel,Lithuania & Memel
litauen og memel,Lithuania & Memel
litavia,Lithuania
lithuania,Lithuania
lithuanie,Lithuania
lithuanie (y compris memel),Lithuania & Memel
littauen,Lithuania
lituania,Lithuania
lituȃnia,Lithuania
lituanie,Lithuania
litva,Lithuania
litwa,Lithuania
liverpool,Liverpool
livonia,Latvia
livourne,Livorno
ĺndia,India
loanda,Loanda
lombock,Lombok
lome,Lomé
londres,London
lord howe island,Lord Howe I.
los demás países,World (other)
lotwa,Latvia
lotyšsko,Latvia
lourenço marques,Maputo Bay (Delagoa Bay)
loyalty islands,Loyalty Is.
lrelande,Ireland
lubec,Lübeck
lubeck,Lübeck
lübeck,Lübeck
lubeck (association commerciale allemande),Lübeck
lubeck (union douanière allemande),Lübeck
"lübeck, pr. fuhr und pr. stecknitz",World (via Lübeck)
luksemburga,Luxemburg
luksemburgu,Luxemburg
lunenburg,Lunenburg
lussemburgo,Luxemburg
luxemb.,Luxemburg
luxemberg,Luxemburg
luxemborg,Luxemburg
luxembourg,Luxemburg
luxemburg,Luxemburg
luxemburgo,Luxemburg
lybeck,Lübeck
lybia,Libya
lybie,Libya
lybie (tripolitaine et cyrénaïque),Cyrenaica & Tripolitania (Regency of Tripoli)
macao,Macao
macao (portugal),Macao
macao and timor,East Timor (Portuguese Timor) & Macao
macau,Macao
macau e timor,East Timor (Portuguese Timor) & Macao
"macau,timor",East Timor (Portuguese Timor) & Macao
machukuo,Manchukuo
macquarie island,Macquarie I.
madagascar,Madagascar (Malagasy Republic)
madagascar (france),Madagascar (Malagasy Republic)
madagascar (marchandises françaises),Madagascar (Malagasy Republic) (French produce)
madagascar & mayotte & nossi-bé,Madagascar (Malagasy Republic) & Mayotte & Nossi Be
madagascar & reunion,Madagascar (Malagasy Republic) & Reunion (Bourbon I.)
madagascar and comore island,Comoros
madagascar and comoro islands,Comoros & Madagascar (Malagasy Republic)
madagascar and dependencies,Madagascar (Malagasy Republic) & Madagascar (Malagasy Republic) Dependencies
madagascar and kerguelon,Kerguelen Is. & Madagascar (Malagasy Republic)
madagascar en reunion,Madagascar (Malagasy Republic) & Reunion (Bourbon I.)
madagascar et dépendances,Madagascar (Malagasy Republic) & Madagascar (Malagasy Republic) Dependencies
madagascar et dépendances (mayotte compris),Madagascar (Malagasy Republic) & Madagascar (Malagasy Republic) Dependencies
madagascar et dépendances (y compris mayotte),Madagascar (Malagasy Republic) & Madagascar (Malagasy Republic) Dependencies
"madagascar, enz.",Madagascar (Malagasy Republic)
"madagascar, native states",Madagascar (Malagasy Republic) (other)
madagascar:native territory,Madagascar (Malagasy Republic) (other)
madagaskar,Madagascar (Malagasy Republic)
madagaskar och reunion,Madagascar (Malagasy Republic) & Reunion (Bourbon I.)
"madagaskar, mauritius und réunion",Madagascar (Malagasy Republic) & Mauritius & Reunion (Bourbon I.)
madagaskara,Madagascar (Malagasy Republic)
madarska,Hungary
madarsko,Hungary
madeira,Madeira Isles
madeira (portugal),Madeira Isles
madeira and teneriffe,Canary Is. & Madeira Isles
madeira islands,Madeira Isles
madeira und teneriffa,Madeira Isles & Tenerife
"madeira, den canarien und der capstadt",Canary Is. & Cape Colony (Cape of Good Hope) & Madeira Isles
"madeira, teneriffa e. d. azoren",Azores (Western Isles) & Madeira Isles & Tenerife
madère,Madeira Isles
"madra, calcutta",Chennai (Madras) & Kolkata (Calcutta)
madras,Chennai (Madras)
madras (british india),Chennai (Madras)
madras and coromandel coast,Chennai (Madras) & Coromandel Coast Posts
madras et littoral indien,Chennai (Madras) & India (Coast)
mafia island,Mafia I.
maisto produktai laivams,***NA
makatea island,Makatea Is.
malaca,Malacca
malacca,Malacca
malacca et penang,Malacca & Penang
malaga,Málaga
malaisie,Malaysia (British Malaya)
malaisie brit.,Malaysia (British Malaya)
malaisie britan,Malaysia (British Malaya)
malaisie britann,Malaysia (British Malaya)
malaisie britannique,Malaysia (British Malaya)
malaisie britannique et borneo britannique,British Borneo & Malaysia (British Malaya)
"malaisie, bornéo",Borneo & Malaysia (British Malaya)
malaja britanska,Malaysia (British Malaya)
"malaja, anglijas",Malaysia (British Malaya)
malaje brytujskie,Malaysia (British Malaya)
malakka,Malacca
"malakka, n.w. borneo",Malaysia (British Malaya) & Sarawak
malasia británica,Malaysia (British Malaya)
malasia britânica,Malaysia (British Malaya)
malasia inglesa,Malaysia (British Malaya)
malawi,Malawi (Nyasaland) (British Central Africa Protectorate)
malawi (nyasaland),Malawi (Nyasaland) (British Central Africa Protectorate)
malay,Malaysia (British Malaya)
malay peninsula,Malaysia (British Malaya) (other)
malay states,Malaysia (British Malaya)
malaya,Malaysia (British Malaya)
malaya (british),Malaysia (British Malaya)
malayan union,Federated Malay States
malaysia (malaya),Malaysia (British Malaya)
malden island,Malden I.
maldive islands,Maldive Islands
maldive islands (including sandwich isles),Maldive Islands
maldives,Maldive Islands
malesia brit. (stab. str.),Straits Settlements
malt,Malta
malta,Malta
malta and gozo,Gozo & Malta
malta chipre,Cyprus & Malta
"malta, gozo, and cyprus",Cyprus & Gozo & Malta
"malta, gozo, and cyprus islands",Cyprus & Gozo & Malta
"malta, gozo, etc",Cyprus & Gozo & Malta
"malta, gozo, etc.",Cyprus & Gozo & Malta
malte,Malta
malte & gibraltar,Gibraltar & Malta
malte et corfou,Corfu & Malta
malte et gibraltar,Gibraltar & Malta
malte et iles ioniennes,Ionian Is. & Malta
malte et îles ioniennes,Ionian Is. & Malta
malte et ïles ioniennes,Ionian Is. & Malta
malte**,Malta
maltha,Malta
maltos sala,Malta
malvinas,Falkland Is.
manchukuo,Manchukuo
manchukúo,Manchukuo
manchukuo/manchuria,Manchuria
manchuokuo,Manchukuo
manchuria,Manchuria
manchuria (including kwantung peninsula),Manchuria
manciuria,Manchuria
mandat. d. australien,New Guinea (German New Guinea) (Kaiser Wilhelmsland) & Nauru & Samoa (Western Samoa) (German Samoa)
mandatsgebeit palästina,Palestine
mandatsgebeit syrien-libanon,Lebanon & Syria
mandatsgebiet deutsch kamerun,British Cameroons & Cameroun (French Cameroons)
mandatsgebiet deutsch ostafrika,Ruanda-Urundi & Tanzania (Tanganyika)
mandatsgebiet deutsch südwestafrika,Namibia (South West Africa) (German South West Africa)
mandatsgebiet in der südsee,New Guinea (German New Guinea) (Kaiser Wilhelmsland) & Nauru & Samoa (Western Samoa) (German Samoa)
mandatsgebiet kamerun,British Cameroons & Cameroun (French Cameroons)
mandatsgebiet togo,British Togoland & Togo (French Togoland)
mandchoukouo,Manchukuo
mandchourie,Manchuria
mandchuokuo et kwantung,Kwangtung Territory & Manchukuo
mandchuria,Manchuria
mandsjoekwo en kwantoeng,Kwangtung Territory & Manchukuo
mandsjukuo,Manchukuo
mandzuko,Manchukuo
mandżuria,Manchuria
mandzurija,Manchuria
mandzusko,Manchukuo
manica e sofala,Manica Province & Sofala Province
manila,Manila
manila and philippine islands,Philippines
manilla,Manila
manilla and philippines islands,Philippines
manille,Manila
manitoba,Manitoba
"mantimentos e gastos para embarcacões, fazendas demoradas, arrojos do mar, procedencias e destinos diversos",World (other)
mantshukuo,Manchukuo
mantzourie,Manchuria
marchandises étrangères soumises à des droits de douane importées de russie,World (via Russia)
marchandises soumises au tarif spécial,***NA
margarita,Margarita I.
margaritta (venezuela),Margarita I.
mariana,Mariana Is.
maroc,Morocco
maroc (casablanca),Casablanca
"maroc (mazagan, casablanca)",Casablanca & El Jadida (Mazaghan)
maroc (mogador et safy),Essaouira (Mogador) & Safi
maroc (mogador),Essaouira (Mogador)
maroc (ports de la zone française),Morocco
maroc (protectorat francais),Morocco
maroc (protectorat français),Morocco
maroc (zone de tanger),Tangier
maroc (zone espagnole),Spanish Morocco
maroc (zone française),Morocco
maroc espagn,Spanish Morocco
maroc espagnol,Spanish Morocco
maroc espagnol et iles canaries,Canary Is. & Spanish Morocco
maroc et barbarie,Barbary Coast
maroc et barbarie**,Barbary Coast
maroc et tunis,Morocco & Tunisia (Regency of Tunis)
maroc franc,Morocco
maroc francais,Morocco
maroc français,Morocco
maroc tanger,Tangier
maroc zone espagnole,Spanish Morocco
maroc zone française,Morocco
maroc-tanger,Tangier
"maroc, algérie, tunis et zanzibar",Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar
"maroc, tanger",Tangier
marocco,Morocco
marocko,Morocco
marocko: tanger,Tangier
maroka,Morocco
"maroka, franc prot",Morocco
"maroka, spanijas",Spanish Morocco
"maroka, tanger",Tangier
marokko,Morocco
marokko (beh. spaansch mar.),Morocco
"marokko, fransk protektorat med tanger",Morocco & Tangier
maroko,Morocco
maroko : presydia i strefa hiszpańskie,Spanish Morocco
maroko : protektorat francuski,Morocco
maroko : tanger,Tangier
marquesas islands,Marquesas Is.
marrocos,Morocco
marrocos (espanhol),Spanish Morocco
marrocos (francês),Morocco
marrocos (presidios e zonas espanholas),Spanish Morocco
marrocos (protectorado espanhol),Spanish Morocco
marrocos (protectorado francês),Morocco
"marrocos,tânger",Tangier
marruecos,Morocco
marruecos (zona española),Spanish Morocco
marruecos (zona francesa),Morocco
marruecos (zona internacional,Tangier
marruecos (zona internacional),Tangier
marruecos espanol,Spanish Morocco
marruecos español,Spanish Morocco
marruecos fr,Morocco
marruecos frances,Morocco
marruecos francés,Morocco
"marruecos, tánger y z.i",Tangier
"marruecos, z. e.",Spanish Morocco
"marruecos, z.e",Spanish Morocco
"marruecos, z.f",Morocco
"marruecos, z.i",Tangier
marseille,Marseille
marseilles,Marseille
marshall islands,Marshall Is.
martinica,Martinique
martinien,Martinique
martinika,Martinique
martinique,Martinique
martinique (french colonies),Martinique
martinique (french),Martinique
martinique (ile de la),Martinique
"martinique (ile de la), guadeloupe et ile de la réunion",Guadeloupe & Martinique & Reunion (Bourbon I.)
martinique (la),Martinique
mascate et zanzibar,Oman (Sultanate of Muscat and Oman) & Zanzibar
"mascate, zanzibar",Oman (Sultanate of Muscat and Oman) & Zanzibar
mascut,Oman (Sultanate of Muscat and Oman)
maskat territory and trucial oman,Oman (Sultanate of Muscat and Oman) & United Arab Emirates (Trucial Oman)
massa et carrare,Massa and Carrara
massawah,Massawah
maurice,Mauritius
maurice (île),Mauritius
"maurice, cap, australie",Australia & Cape Colony (Cape of Good Hope) & Mauritius
"maurice, réunion",Mauritius & Reunion (Bourbon I.)
mauricia,Mauritius
mauricija sala,Mauritius
mauricio,Mauritius
mauricios,Mauritius
mauricius,Mauritius
mauricius and dependencies,Mauritius & Mauritius Dependencies
"mauricius and dependencies, seychelles islands",Mauritius & Mauritius Dependencies & Seychelles
mauritania,Mauritania
mauritanie,Mauritania
mauritanija,Mauritania
mauritius,Mauritius
mauritius and bourbon,Mauritius & Reunion (Bourbon I.)
