RICname,type,continent,GPH_code,slug,parent_entity
East Indies & People's Republic of China (China),group,Asia,,EastIndies_PeoplesRepublicofChinaChina,
East Indies & Philippines & Thailand (Siam),group,Asia,,,
East Indies & Thailand (Siam),group,Asia,,EastIndies_ThailandSiam,
East Indies & West Indies,group,World,,,
East London,locality,Africa,,,South Africa
East Prussia,locality,Europe,,,Prussia
East Timor (Portuguese Timor),GPH_entity,Asia,860,EastTimorPortugueseTimor,
East Timor (Portuguese Timor) & Macao,group,Asia,,EastTimorPortugueseTimor_Macao,
East Timor (Portuguese Timor) & Macao & Portuguese India,group,Asia,,,
Eastern Africa,geographical_area,Africa,,EastAfrica,
Eastern Africa (other),locality,Africa,,EastAfricaother,Eastern Africa
Eastern Africa & Madagascar (Malagasy Republic),group,Africa,,,
Eastern Africa & Mauritius,group,Africa,,,
Eastern Africa & South Africa & Western Africa,group,Africa,,,
Eastern Asia,geographical_area,Asia,,,
Eastern Asia (other),locality,Asia,,,Eastern Asia
Eastern Asia (other) & French India & Japan & People's Republic of China (China),group,Asia,,,
Eastern Asia (other) & Japan & People's Republic of China (China),group,Asia,,,
Eastern Asia & India,group,Asia,,,
Eastern Asia & People's Republic of China (China),group,Asia,,,
Eastern Rumelia,GPH_entity,Europe,3551,EasternRumelia,
Ecuador,GPH_entity,America,130,Ecuador,
Ecuador & Guatemala,group,America,,Ecuador_Guatemala,
Ecuador & Peru,group,America,,Ecuador_Peru,
Egypt Arab Republic (Egypt),GPH_entity,Africa,651,EgyptArabRepublicEgypt,
Egypt Arab Republic (Egypt) (other),locality,Africa,,,Egypt Arab Republic (Egypt)
Egypt Arab Republic (Egypt) & Egypt Arab Republic (Egypt) Dependencies,group,World,,EgyptArabRepublicEgypt_Othercountries,
Egypt Arab Republic (Egypt) & Egypt Arab Republic (Egypt) Dependencies & Turkey (Ottoman Empire),group,World,,,
Egypt Arab Republic (Egypt) & Greece & Turkey (Ottoman Empire),group,World,,EgyptArabRepublicEgypt_Greece_TurkeyOttomanEmpire,
Egypt Arab Republic (Egypt) & Indian Transit,group,World,,EgyptArabRepublicEgypt_IndianTransit,
Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),group,Asia,,,
Egypt Arab Republic (Egypt) & Moldavia,group,World,,,
Egypt Arab Republic (Egypt) & Sudan (Anglo-Egyptian Sudan) (Mahdist State),group,Africa,,EgyptArabRepublicEgypt_NorthSudanSudanAngloEgyptian,
Egypt Arab Republic (Egypt) & Syria,group,World,,EgyptArabRepublicEgypt_Syria,
Egypt Arab Republic (Egypt) & Tripolitania (Regency of Tripoli),group,Africa,,,
Egypt Arab Republic (Egypt) & Turkey (Ottoman Empire),group,World,,EgyptArabRepublicEgypt_TurkeyOttomanEmpire,
Egypt Arab Republic (Egypt) Dependencies,locality,Africa,,,Egypt Arab Republic (Egypt)
El Jadida (Mazaghan),locality,Africa,,,Morocco
El Salvador,GPH_entity,America,92,ElSalvador,
El Salvador & Honduras & Nicaragua,group,America,,,
Elbe,locality,Europe,,Elbe,Germany (Zollverein)
Ellice Is.,locality,Oceania,,,Gilbert and Ellice Is.
Elmina,locality,Africa,,,Ghana (Gold Coast)
Elobey Is.,GPH_entity,Africa,4113,,
English Channel,geographical_area,Europe,,EnglishChannel,
Equatorial Africa,geographical_area,Africa,,,
Equatorial Eastern Africa,geographical_area,Africa,,,
Equatorial Eastern Africa (other),locality,Africa,,,Equatorial Eastern Africa
Equatorial Guinea (Spanish Guinea),GPH_entity,Africa,411,,
Equatorial Guinea (Spanish Guinea) & Spanish Morocco,group,Africa,,,
Equatorial Western Africa,geographical_area,Africa,,,
Equatorial Western Africa (other),locality,Africa,,,Equatorial Western Africa
Eritrea,GPH_entity,Africa,531,Eritrea,
Eritrea & Italian Somaliland,group,Africa,,Eritrea_ItalianSomaliland,
Erzurum,locality,Asia,,Erzurum,Turkey (Ottoman Empire)
Essaouira (Mogador),locality,Africa,,EssaouiraMogador,Morocco
Essaouira (Mogador) & Safi,group,Africa,,EssaouiraMogador_Safi,
Estonia,GPH_entity,Europe,366,Estonia,
Estonia & Latvia,group,Europe,,,
Estonia & Latvia & Lithuania,group,Europe,,,
Eswatini (Swaziland),GPH_entity,Africa,572,EswatiniSwaziland,
Eswatini (Swaziland) & Zululand,group,Africa,,,
Ethiopia (Abyssinia),GPH_entity,Africa,530,EthiopiaAbyssinia,
Ethiopia (Abyssinia) & Italian Africa,group,Africa,,,
Europe,geographical_area,Europe,,Europe,
Europe (other),locality,Europe,,Europeother,Europe
Europe & European Russia,group,Europe,,Europe_EuropeanRussia,
Europe & Levant,group,World,,Levant_Europe,
European America,colonial_area,America,,EuropeanAmerica,
European America (other),locality,America,,,European America
European Russia,locality,Europe,,RussiaUSSR,Russia (USSR)
European Turkey,locality,Europe,,EuropeanTurkey,Turkey (Ottoman Empire)
European Turkey & Montenegro,group,Europe,,,
European Turkey & Romania,group,Europe,,,
Faeroe Is.,GPH_entity,Europe,11,FaeroeIs.,
Faeroe Is. & Greenland,group,World,,FaeroeIs._Greenland,
Faeroe Is. & Greenland & Iceland,group,World,,FaeroeIs._Greenland_Iceland,
Faeroe Is. & Iceland,group,Europe,,FaeroeIs._Iceland,
Falkland Is.,GPH_entity,America,1163,FalklandIs.,
Falkland Is. & Falkland Is. Dependencies,group,World,,,
Falkland Is. & Guyana (British Guiana),group,America,,FalklandIs_GuyanaBrGuiana,
Falkland Is. & Patagonia,group,America,,,
Falkland Is. & Uruguay,group,America,,FalklandIs._Uruguay,
Falkland Is. Dependencies,locality,America,,,Falkland Is.
Fanning I.,GPH_entity,Oceania,9453,,
Far Eastern Republic,GPH_entity,Europe,735,,
Federated Malay States,GPH_entity,Asia,821,FederatedMalayStates,
Federated Malay States & Straits Settlements,group,Asia,,,
Federated States of Micronesia,GPH_entity,Oceania,987,,
Federated States of Micronesia & French Polynesia,group,Oceania,,,
Federation of South Arabia,GPH_entity,Asia,6801,,
Feodosia,locality,Europe,,RussiaUSSR,Russia (USSR)
Fernando Po (Bioko),GPH_entity,Africa,413,FernandoPoBioko,
Fernando Po (Bioko) & Río Muni,group,Africa,,,
Figueira,locality,Europe,,Figueira,Portugal
Fiji,GPH_entity,Oceania,950,Fiji,
Fiji & Tonga (Haʻapai),group,Oceania,,,
Finland,GPH_entity,Europe,375,Finland,
Finland & Russia (USSR),group,Europe,,Finland_RussiaUSSR,
Fiume,GPH_entity,Europe,3343,Fiume,
Fiume & Italy,group,Europe,,,
Fiume & Kingdom of Sardinia & Milan & Papal States & Republic of St. Mark & Tuscany & Two Sicilies,group,Europe,,Fiume_KingdomofSardinia_Milan_PapalStates_RepublicofSt.Mark_Tuscany_TwoSicilies,
Fiume & Republic of St. Mark & Trieste,group,Europe,,Fiume_RepublicofStMark_Trieste,
Fiume & Trieste,group,Europe,,Fiume_Trieste,
Flensburg,locality,Europe,,,Schleswig
Florida,GPH_entity,America,1008,,
Forçados River,locality,Africa,,,Nigeria
Fort St. George,locality,Asia,,FortSt.George,India
France,GPH_entity,Europe,220,France,
France (Atlantic Coast),locality,Europe,,,France
France (Foreign produce),locality,Europe,,,France
France (Foreign produce) (other),locality,Europe,,,France
France (French produce),locality,Europe,,FranceFrenchproduce,France
France (French produce) & French Colonies (French produce),group,World,,FranceFrenchproduce_FrenchcoloniesFrenchproduce,
France (Mediterranean Coast),locality,Europe,,,France
France (other),locality,Europe,,,France
France & French Africa,group,World,,,
France & French Colonies,group,World,,France_FrenchColonies,
France & French Mediterranean Sea,group,Europe,,France_FrenchMediterranean,
France & Monaco,group,Europe,,,
France & Netherlands,group,Europe,,France_Netherlands,
France & Netherlands & Portugal & United States of America,group,World,,,
France & Portugal,group,Europe,,,
France & Tahiti,group,World,,France_Tahiti,
Frankfurt,GPH_entity,Europe,247,Frankfurt,
Franz Josef Land,locality,Europe,,RussiaUSSR,Russia (USSR)
Free entrepots,geographical_area,World,,,
Free entrepots & Baltic Ports & North Sea,group,Europe,,,
Free ports,geographical_area,World,,Freeports,
Freetown,locality,Africa,,,Sierra Leone
French Africa,colonial_area,Africa,,FrenchAfrica,France
French Africa (other),locality,Africa,,FrenchAfricaother,French Africa
French America,colonial_area,America,,FrenchAmerica,France
French and Southern Antarctic Territories (F.S.A.T.),GPH_entity,Oceania,9970,,
French Asia,colonial_area,Asia,,FrenchAsia,France
French Asia (other),locality,Asia,,,French Asia
French Asia & French India,group,Asia,,,
French Asia & French India & Portuguese Asia,group,Asia,,,
French Asia & French Polynesia,group,World,,FrenchAsia_FrenchOceania,
French Central America,colonial_area,America,,,France
French China,colonial_area,Asia,,FrenchChina,France
French Colonies,colonial_area,World,,FrenchColonies,France
French Colonies (Foreign produce),locality,World,,,French Colonies
French Colonies (French produce),locality,World,,FrenchColoniesFrenchproduce,French Colonies
French Colonies (other),locality,World,,FrenchColoniesother,French Colonies
French Colonies (other) (Foreign produce),locality,World,,,French Colonies
French colonies (other) (French produce),locality,World,,,French Colonies
French Eastern Africa,colonial_area,Africa,,,France
French Entrepôts,locality,Europe,,,France
French Equatorial Africa,GPH_entity,Africa,480,FrenchEquatorialAfrica,
French Equatorial Africa & French West Africa,group,Africa,,,
French Equatorial Western Africa,colonial_area,Africa,,,France
French Europe (Foreign produce),colonial_area,Europe,,,France
French Guiana,GPH_entity,America,120,FrenchGuyana,
French Guiana & French West Indies,group,America,,,
French Guiana & Guadeloupe & Martinique,group,America,,,
French Guiana & Guyana (British Guiana) & Surinam (Dutch Guiana),group,America,,FrenchGuyana_GuyanaBrGuiana_Surinam (Dutch Guiana),
French India,GPH_entity,Asia,751,FrenchIndia,
French India & French Indochina,group,Asia,,,
French India & India & Portuguese India,group,Asia,,FrenchIndia_India_PortugueseIndiainclGoaDiuDaman,
French Indochina,GPH_entity,Asia,810,FrenchIndochina,
French Indochina (French produce),locality,Asia,,,French Indochina
French Indochina & Japan & People's Republic of China (China),group,Asia,,FrenchIndochina_Japan_PeoplesRepublicofChinaChina,
French Indochina & People's Republic of China (China),group,Asia,,FrenchIndochina_PeoplesRepublicofChinaChina,
French Indochina & People's Republic of China (China) & Philippines & Thailand (Siam),group,Asia,,,
French Indochina & Thailand (Siam),group,Asia,,,
French Mediterranean Sea,colonial_area,Europe,,FrenchMediterranean,France
French Northern Africa,colonial_area,Africa,,,France
French Northern America,colonial_area,America,,FrenchNorthAmerica,France
French Oceania,colonial_area,Oceania,,,
French Oceania (other),locality,Oceania,,,French Oceania
French Oceania (other) & New Caledonia,group,Oceania,,,
French Polynesia,GPH_entity,Oceania,960,,
French Southern Africa,colonial_area,Africa,,,France
French Southern America,colonial_area,America,,,France
French West Africa,GPH_entity,Africa,430,FrenchWestAfrica,
French Western Africa (Foreign produce),locality,Africa,,,French West Africa
French Western Africa (French produce),locality,Africa,,,French West Africa
French Western Africa (other),locality,Africa,,,French West Africa
French Western Africa & Senegal,group,Africa,,FrenchWestAfrica_Senegal,
French West Africa & Togo (French Togoland),group,Africa,,,
French West Indies,colonial_area,America,,FrenchWestIndies,France
French West Indies (West),colonial_area,America,,,France
French West Indies & Netherlands Antilles & Spanish West Indies & St. Barthelemy & Virgin Islands (Danish West Indies),group,America,,FrenchWestIndies_NetherlandsAntilles_SpanishWestIndies_StBarthelemy_VirginIslandsDanishWestIndies,
French West Indies & St. Pierre and Miquelon,group,America,,,
Futa Djallon,GPH_entity,Africa,4381,,
Fuzhou,locality,Asia,,,People's Republic of China (China)
Gabon,GPH_entity,Africa,481,Gabon,
Gabon River,locality,Africa,,,Gabon
Galapagos Is.,GPH_entity,America,1301,,
Galați,locality,Europe,,,Moldavia
Galați & Odessa,group,Europe,,,
Galicia (Kingdom of Galicia and Lodomeria),GPH_entity,Europe,3001,,
Gambia,GPH_entity,Africa,420,Gambia,
Gambia & Guinea (French Guinea) (Rivieres du Sud) & Senegal,group,Africa,,Gambia_GuineaFrenchGuineaRivieresduSud_Senegal,
Gambia & Senegal,group,Africa,,Gambia_Senegal,
Gambia & Sierra Leone,group,Africa,,Gambia_SierraLeone,
Gdynia,locality,Europe,,,Poland
Geestemünde,locality,Europe,,,Bremen
Genoa,locality,Europe,,Genoa,Kingdom of Sardinia
Genoa & Kingdom of Sardinia,group,Europe,,Genoa_KingdomofSardinia,
Genoa & Livorno,group,Europe,,Genoa_Livorno,
Genoa & Trieste,group,Europe,,Genoa_Trieste,
Georgia,GPH_entity,Europe,372,,
German Africa,colonial_area,Africa,,GermanAfrica,Germany (Zollverein)
German Africa (other),locality,Africa,,,German Africa
German Africa & German Oceania,group,World,,,
German Austria,colonial_area,Europe,,,Germany (Zollverein)
German Austria & Italian Austria,group,Europe,,,
German China,colonial_area,Asia,,GermanChina,Germany (Zollverein)
German China & German Oceania,group,World,,,
German Colonies,colonial_area,World,,GermanColonies,Germany (Zollverein)
German Colonies & Germany (Zollverein),group,World,,GermanColonies_GermanyZollverein,
German Confederation (other),locality,Europe,,,***NA
German East Africa,GPH_entity,Africa,510,GermanEastAfrica,
German East Africa & Germany (Zollverein),group,World,,GermanEastAfrica_GermanyZollverein,
German Oceania,colonial_area,Oceania,,GermanOceania,Germany (Zollverein)
German Solomon Is.,GPH_entity,Oceania,9401,,
German Togoland,GPH_entity,Africa,460,,
German Togoland & Kamerun,group,Africa,,GermanTogoland_Kamerun,
German West Indies,colonial_area,America,,,Germany (Zollverein)
German Western Africa,colonial_area,Africa,,GermanWestAfrica,Germany (Zollverein)
Germany (Zollverein),GPH_entity,Europe,255,GermanyZollverein,
Germany (Zollverein) (Baltic Sea),locality,Europe,,,Germany (Zollverein)
Germany (Zollverein) (French produce),locality,Europe,,,Germany (Zollverein)
Germany (Zollverein) (North Sea),locality,Europe,,,Germany (Zollverein)
Germany (Zollverein) (other),locality,Europe,,"GermanyZollverein,other",Germany (Zollverein)
Germany (Zollverein) (other) & Prussia,group,Europe,,Germanyother_Prussia,
Germany (Zollverein) (Rhine),locality,Europe,,GermanyZollverein_Rhine,Germany (Zollverein)
Germany (Zollverein) & Hamburg,group,Europe,,GermanyZollverein_Hamburg,
Germany (Zollverein) & Hanse Towns,group,Europe,,,
Germany (Zollverein) & Saar,group,Europe,,GermanyZollverein_Saar,
Ghana (Gold Coast),GPH_entity,Africa,452,GhanaGoldCoast,
Ghana (Gold Coast) (other),locality,Africa,,,Ghana (Gold Coast)
Ghana (Gold Coast) & Gold Coast-Togoland (Neutral Zone),group,Africa,,,
Gibraltar,GPH_entity,Europe,231,Gibraltar,
Gibraltar & Ionian Is. & Malta & United Kingdom,group,Europe,,Gibraltar_IonianIs._Malta_UnitedKingdom,
Gibraltar & Malta,group,Europe,,Gibraltar_Malta,
Gibraltar & Malta & United Kingdom,group,Europe,,,
Gibraltar & Newfoundland and Labrador (Newfoundland) & United Kingdom,group,Europe,,Gibraltar_NewfoundlandandLabradorNewfoundland_UnitedKingdom,
Gibraltar & Portugal & Spain,group,Europe,,Gibraltar_Portugal_Spain,
Gibraltar & Spain,group,Europe,,Gibraltar_Spain,
Gibraltar & Spain & Spanish Colonies,group,World,,Gibraltar_Spain_SpanishColonies,
Gibraltar & United Kingdom,group,Europe,,Gibraltar_UnitedKingdom,
Gijón,locality,Europe,,,Spain
Gilbert and Ellice Is.,GPH_entity,Oceania,945,GilbertandElliceIs.,
Goa,GPH_entity,Asia,7591,,
Gold Coast-Togoland (Neutral Zone),GPH_entity,Africa,4559,,
Gonaïves,locality,America,,Gona�ves,Haiti
Gopalpur,locality,Asia,,,India
Gorda Cay,locality,America,,,Bahamas
Goree,GPH_entity,Africa,4338,Goree,
Goree & Senegal,group,Africa,,Goree_Senegal,
Gothenburg,locality,Europe,,,Sweden
Gough I.,locality,Africa,,,Tristan da Cunha
Gozo,locality,Europe,,,Malta
Gozo & Malta,group,Europe,,Gozo_Malta,
Gran Canaria,locality,Africa,,,Canary Is.
Grand Cayman,locality,America,,,Cayman Is.
Grand Comoro,GPH_entity,Africa,5811,,
Grand Popo,GPH_entity,Africa,4344,,
Grand-Bassam,GPH_entity,Africa,4372,,
Grand-Lahou,locality,Africa,,,Ivory Coast
Greece,GPH_entity,Europe,350,Greece,
Greece & Ionian Is.,group,Europe,,Greece_IonianIs.,
Greece & Istanbul (Constantinople) & Levant,group,World,,Greece_IstanbulConstantinople_Levant,
Greece & Italy & Levant,group,World,,,
Greece & Malta,group,Europe,,Greece_Malta,
Greece & Malta & Turkey (Ottoman Empire),group,World,,Greece_Malta_TurkeyOttomanEmpire,
Greece & Netherlands & Norway & Spain & Switzerland & United States of America,group,World,,,
Greece & Romania & Turkey (Ottoman Empire),group,World,,Greece_Romania_TurkeyOttomanEmpire,
Greece & Russia (USSR) & Turkey (Ottoman Empire),group,World,,Greece_RussiaUSSR_TurkeyOttomanEmpire,
Greece & Turkey (Ottoman Empire),group,World,,Greece_TurkeyOttomanEmpire,
Greek Asia,colonial_area,Asia,,,Greece
Greenland,GPH_entity,America,10,Greenland,
Greenland & Iceland,group,World,,Greenland_Iceland,
Greenland & Svalbard Is.,group,World,,Greenland_SvalbardIs.,
Grenada,GPH_entity,America,55,Grenada,
Grenadines,locality,America,,,St. Vincent and the Grenadines
Guadeloupe,GPH_entity,America,65,Guadeloupe,
Guadeloupe & Guadeloupe Dependencies,group,America,,,
Guadeloupe & Martinique,group,America,,Guadeloupe_Martinique,
Guadeloupe & Martinique & Reunion (Bourbon I.),group,World,,Guadeloupe_Martinique_Reunion,
Guadeloupe Dependencies,locality,America,,,Guadeloupe
Guam,GPH_entity,Oceania,985,Guam,
Guam & Philippines,group,World,,Guam_Philippines,
Guangzhou (Canton),GPH_entity,Asia,7124,PeoplesRepublicofChinaChina,
Guangzhou (Canton) & Manila,group,Asia,,GuangzhouCanton_Manila,
Guatemala,GPH_entity,America,90,Guatemala,
Guatemala & Mexico,group,America,,Guatemala_Mexico,
Guatemala & Mexico & Texas,group,America,,Guatemala_Mexico_Texas,
Guatemala & Nicaragua,group,America,,Guatemala_Nicaragua,
Guayaquil,locality,America,,Guayaquil,Ecuador
Guernsey,locality,Europe,,,Channel Is.
Guesloff,locality,Europe,,RussiaUSSR,Russia (USSR)
Guinea (French Guinea) (Rivieres du Sud),GPH_entity,Africa,438,GuineaFrenchGuineaRivieresduSud,
Guinea Coast,geographical_area,Africa,,GuineaCoast,
Guinea-Bissau (Portuguese Guinea),GPH_entity,Africa,404,Guinea-BissauPortugueseGuinea,
Güiria,locality,America,,,Venezuela
Gulf of Mexico,geographical_area,America,,,
Guyana (British Guiana),GPH_entity,America,110,GuyanaBr.Guiana,
Guyana (British Guiana) (other),locality,America,,,Guyana (British Guiana)
Guyana (British Guiana) & Venezuela,group,America,,,
Hadhramaut,locality,Asia,,,Aden Protectorate
Haiti,GPH_entity,America,41,Haiti,
Haiti & Puerto Rico,group,America,,,
Haiti & Venezuela,group,America,,Haiti_Venezuela,
Halifax,locality,America,,Halifax,Nova Scotia
Halifax I.,locality,Africa,,,Namibia (South West Africa) (German South West Africa)
Hamburg,GPH_entity,Europe,248,Hamburg,
Hamburg & Lübeck,group,Europe,,,
Hamburg & Netherlands,group,Europe,,,
Hamburg & North Germany,group,Europe,,Hamburg_NorthGermany,
Hanover,GPH_entity,Europe,240,Hanover,
Hanover & Hanse Towns,group,Europe,,Hamburg_Hanover_HanseTownsBremen_L�beck,
Hanover & Hanse Towns & Heligoland & Kniphausen & Mecklenburg Schwerin & Oldenburg,group,Europe,,Hamburg_Hanover_HanseTownsBremen_Heligoland_Kniphausen_L�beck_MecklenburgSchwerin_Oldenburg,
Hanover & Hanse Towns & Mecklenburg Schwerin,group,Europe,,,
Hanover & Mecklenburg Schwerin,group,Europe,,,
Hanover & Mecklenburg Schwerin & Oldenburg,group,Europe,,Hanover_MecklenburgSchwerin_Oldenburg,
Hanover & Mecklenburg Schwerin & Prussia,group,Europe,,Hanover_MecklenburgSchwerin_Prussia,
Hanover & Oldenburg,group,Europe,,Hanover_Oldenburg,
Hanover & Prussia,group,Europe,,,
Hanse Towns,geographical_area,Europe,,Hamburg_HanseTownsBremen_L�beck,
Hanse Towns (other),locality,Europe,,,Hanse Towns
Hanse Towns & Mecklenburg Schwerin & Oldenburg,group,Europe,,,
Hanse Towns & Netherlands,group,Europe,,Hamburg_HanseTownsBremen_L�beck_Netherlands,
Hanse Towns & Prussia,group,Europe,,Hamburg_HanseTownsBremen_L�beck_Prussia,
Havana,locality,America,,Havana,Cuba
Havre Boucher,locality,America,,,Nova Scotia
Hawaii (Sandwich Is.),GPH_entity,Oceania,4,Hawaii (Sandwich Is.),
Hawaii (Sandwich Is.) & Puerto Rico & United States of America,group,World,,Hawaii (Sandwich Is.)_PuertoRico_UnitedStatesofAmerica,
Hawaii (Sandwich Is.) & Samoa,group,Oceania,,,
Hawaii (Sandwich Is.) & United States of America,group,World,,Hawaii (Sandwich Is.)_UnitedStatesofAmerica,
Heard and McDonald Is.,GPH_entity,Oceania,9005,,
Hejaz Sultanate,GPH_entity,Asia,671,,
Hejaz Sultanate & Turkey (Ottoman Empire) (other),group,Asia,,HejazSultanate_TurkishPorts,
Heligoland,GPH_entity,Europe,2249,Heligoland,
Heligoland & United Kingdom,group,Europe,,,
Hengam Is.,locality,Asia,,,Iran (Persia)
Ho Chi Minh City,locality,Asia,,HoChiMinhCity,French Indochina
Holstein,GPH_entity,Europe,2248,Holstein,
Holstein & Schleswig,group,Europe,,,
Homewood Harbour,locality,Africa,,,Cape Colony (Cape of Good Hope)
Honduras,GPH_entity,America,91,Honduras,
Honduras & Mexico (East),group,America,,Honduras_MexicanEastCoast,
Honduras & Panama,group,America,,,
Hong Kong,GPH_entity,Asia,720,HongKong,
Hong Kong & India,group,Asia,,HongKong_India,
Hong Kong & Kiauchau & People's Republic of China (China),group,Asia,,,
Hong Kong & People's Republic of China (China),group,Asia,,HongKong_PeoplesRepublicofChinaChina,
Hong Kong & People's Republic of China (China) & Singapore,group,Asia,,HongKong_PeoplesRepublicofChinaChina_Singapore,
Honolulu,locality,Oceania,,,Hawaii (Sandwich Is.)
Hungary,GPH_entity,Europe,310,Hungary,
Iceland,GPH_entity,Europe,395,Iceland,
Ichaboe Island,locality,Africa,,NamibiaSouthWestAfricaGermanSouthWestAfrica,Namibia (South West Africa) (German South West Africa)
Illyria,locality,Europe,,,Austria-Hungary (Austrian Empire)
Imperia (Porto Maurizio),locality,Europe,,ImperiaPortoMaurizio,Kingdom of Sardinia
Inagua,locality,America,,,Bahamas
Inagua & Nassau (Bahamas) & Turks and Caicos Is.,group,America,,,
Independent Somali Ports,geographical_area,Africa,,,
India,GPH_entity,Asia,750,India,
India (Coast),locality,Asia,,,India
India (Domestic produce),locality,Asia,,,India
India (Foreign produce),locality,Asia,,,India
India (other),locality,Asia,,Indiaother,India
India & Japan & People's Republic of China (China),group,Asia,,India_Japan_PeoplesRepublicofChinaChina,
India & Malaysia (British Malaya),group,Asia,,,
India & Malaysia (British Malaya) & Sri Lanka (Ceylon),group,Asia,,,
India & Mauritius,group,World,,India_Mauritius,
India & Myanmar (Burma),group,Asia,,India_MyanmarBurma,
India & Myanmar (Burma) & Sri Lanka (Ceylon),group,Asia,,,
India & Myanmar (Burma) & Straits Settlements,group,Asia,,India_MyanmarBurma_StraitsSettlements,
India & New South Wales & United Kingdom,group,World,,India_NewSouthWales_UnitedKingdom,
India & Pacific Islands & People's Republic of China (China),group,World,,India_PacificIslands_PeoplesRepublicofChinaChina,
India & People's Republic of China (China),group,Asia,,India_PeoplesRepublicofChinaChina,
India & People's Republic of China (China) & Singapore,group,Asia,,India_PeoplesRepublicofChinaChina_Singapore,
India & Pondicherry,group,Asia,,,
India & Sri Lanka (Ceylon),group,Asia,,India_SriLankaCeylon,
India & Straits Settlements,group,Asia,,India_StraitsSettlements,
Indian Ocean Islands,geographical_area,Oceania,,IndianOceanIslands,
Indian Ocean Islands (other),locality,Oceania,,IndianOceanIslandsother,Indian Ocean Islands
Indian Ocean Islands (other) & Java & Sumatra,group,Asia,,IndianOceanIslandsother_Java_Sumatra,
Indian Transit,locality,Africa,,,Egypt Arab Republic (Egypt)
Indonesia (Dutch East Indies),GPH_entity,Asia,850,IndonesiaDutchEastIndies,
Indonesia (Dutch East Indies) (other),locality,Asia,,IndonesiaDutchEastIndiesother,Indonesia (Dutch East Indies)
Indonesia (Dutch East Indies) (other) & Java,group,Asia,,IndonesiaDutchEastIndiesother_Java,
Indonesia (Dutch East Indies) (other) & Java & Sumatra,group,Asia,,,
Indonesia (Dutch East Indies) & Netherlands Antilles,group,World,,,
Indonesia (Dutch East Indies) & Philippines,group,Asia,,,
Inhambane,locality,Africa,,,Mozambique (Portuguese East Africa)
International waters,geographical_area,World,,Internationalwaters,
Ionian Is.,GPH_entity,Europe,3349,IonianIs.,
Ionian Is. & Malta,group,Europe,,IonianIs._Malta,
Ionian Is. & Malta & United Kingdom,group,Europe,,IonianIs._Malta_UnitedKingdom,
Ionian Is. & Morea,group,Europe,,IonianIs._Morea,
Ionian Is. & Republic of St. Mark & Trieste,group,Europe,,,
Ionian Is. & United Kingdom,group,Europe,,IonianIs._UnitedKingdom,
Iquique,locality,America,,Iquique,Chile
Iran (Persia),GPH_entity,Asia,630,IranPersia,
Iran (Persia) & Iraq (Mesopotamia),group,Asia,,,
Iran (Persia) & Western Anatolia,group,Asia,,,
Iraq (Mesopotamia),GPH_entity,Asia,645,IraqMesopotamia,
Iraq (Mesopotamia) (other),locality,Asia,,,Iraq (Mesopotamia)
Iraq (Mesopotamia) & Kuwait,group,Asia,,,
Ireland,GPH_entity,Europe,205,Ireland,
Ireland (other),locality,Europe,,,Ireland
Ireland & United Kingdom,group,Europe,,Ireland_UnitedKingdom,
Isle of Man,GPH_entity,Europe,2004,,
Israel,GPH_entity,Asia,666,Israel,
Istanbul (Constantinople),locality,Asia,,,Turkey (Ottoman Empire)
Istanbul (Constantinople) & Izmir (Smyrna),group,Asia,,,
Istanbul (Constantinople) & Turkey (Ottoman Empire) (other),group,Asia,,,
Italian Africa,colonial_area,Africa,,ItalianAfrica,Italy
Italian Africa (other),locality,Africa,,,Italian Africa
Italian Asia,colonial_area,Asia,,,Italy
Italian Austria,colonial_area,Europe,,ItalianAustria,Italy
Italian Colonies,colonial_area,World,,ItalianColonies,Italy
Italian Colonies (other),locality,World,,,Italian Colonies
Italian Colonies & Italy,group,World,,ItalianColonies_Italy,
Italian East Africa,GPH_entity,Africa,5201,ItalianEastAfrica,
Italian Eastern Africa,colonial_area,Africa,,,
Italian Eastern Africa (other),locality,Africa,,,Italian Eastern Africa
Italian Somaliland,GPH_entity,Africa,5200,ItalianSomaliland,
Italy,GPH_entity,Europe,325,Italy,
Italy (other),locality,Europe,,Italyother,Italy
Italy & Malta,group,Europe,,,
Italy & Sardinia,group,Europe,,Italy_Sardinia,
Italy & Sicily,group,Europe,,,
Ivory Coast,GPH_entity,Africa,437,IvoryCoast,
Izmir (Smyrna),locality,Asia,,IzmirSmyrna,Turkey (Ottoman Empire)
Jacmel,locality,America,,Jacmel,Haiti
Jaffa,locality,Asia,,,Israel
Jakarta (Batavia),locality,Asia,,JakartaBatavia,Indonesia (Dutch East Indies)
Jakarta (Batavia) & Java & Sumatra,group,Asia,,JakartaBatavia_Java_Sumatra,
Jakarta (Batavia) & People's Republic of China (China),group,Asia,,,
Jakarta (Batavia) & Singapore,group,Asia,,JakartaBatavia_Singapore,
Jamaica,GPH_entity,America,51,Jamaica,
Jamaica & Jamaica Dependencies,group,World,,,
Jamaica Dependencies,locality,America,,,Jamaica
Japan,GPH_entity,Asia,740,Japan,
Japan & Japanese China & Republic of China (Taiwan) (Formosa),group,Asia,,,
Japan & Korea (Chosen),group,Asia,,,
Japan & Korea (Chosen) & Republic of China (Taiwan) (Formosa),group,Asia,,,
